player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_yac,rec_adot,rec_broken_tackles,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,awards
StafMa00,Matthew Stafford,QB,2021,33,LAR,NFL,QB,4,4,18,42,5,39,2.2,3,0.2,0,1,0,0,0,0,0,5.0,0,0,0.0,0,39.6,
StafMa00,Matthew Stafford,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StafMa00,Matthew Stafford,QB,2024,36,LAR,NFL,QB,2,2,4,4,0,4,1.0,0,0.0,0,0,0,0,0,0,0,,0,0,,,,
