player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_long,rec_per_g,rec_yds_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
MannAr00,Archie Manning,QB,1971,22,NOR,NFL,QB,12,10,33,172,4,,,17,5.2,14.3,2.8,,1,-7,-7.0,0,,-7,0.1,-0.6,34,4.9,165,4,7,
MannAr00,Archie Manning,QB,1972,23,NOR,NFL,QB,14,14,63,351,2,,,18,5.6,25.1,4.5,,0,0,,0,,,0.0,0.0,63,5.6,351,2,9,
MannAr00,Archie Manning,QB,1973,24,NOR,NFL,QB,13,13,63,293,2,,,23,4.7,22.5,4.8,,0,0,,0,,,0.0,0.0,63,4.7,293,2,9,
MannAr00,Archie Manning,QB,1974,25,NOR,NFL,QB,11,11,28,204,1,,,26,7.3,18.5,2.5,,0,0,,0,,,0.0,0.0,28,7.3,204,1,4,
MannAr00,Archie Manning,QB,1975,26,NOR,NFL,QB,13,13,33,186,1,,,16,5.6,14.3,2.5,,0,0,,0,,,0.0,0.0,33,5.6,186,1,7,
MannAr00,Archie Manning,QB,1976,,Did not play - Injured (shoulder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
MannAr00,Archie Manning,QB,1977,28,NOR,NFL,QB,10,9,39,270,5,,,27,6.9,27.0,3.9,,0,0,,0,,,0.0,0.0,39,6.9,270,5,5,
MannAr00,Archie Manning,QB,1978,29,NOR,NFL,QB,16,16,38,202,1,13,52.6,19,5.3,12.6,2.4,0,0,0,,0,0,,0.0,0.0,38,5.3,202,1,8,PB
MannAr00,Archie Manning,QB,1979,30,NOR,NFL,QB,16,16,35,186,2,13,48.6,20,5.3,11.6,2.2,0,0,0,,0,0,,0.0,0.0,35,5.3,186,2,4,PB
MannAr00,Archie Manning,QB,1980,31,NOR,NFL,QB,16,16,23,166,0,7,47.8,24,7.2,10.4,1.4,0,0,0,,0,0,,0.0,0.0,23,7.2,166,0,6,
MannAr00,Archie Manning,QB,1981,32,NOR,NFL,QB,12,11,2,28,0,2,100.0,15,14.0,2.3,0.2,0,0,0,,0,0,,0.0,0.0,2,14.0,28,0,3,
MannAr00,Archie Manning,QB,1982,33,2TM,NFL,QB,7,5,13,85,0,5,69.2,24,6.5,12.1,1.9,0,0,0,,0,0,,0.0,0.0,13,6.5,85,0,5,
MannAr00,Archie Manning,QB,1982,33,HOU,NFL,QB,6,5,13,85,0,5,69.2,24,6.5,14.2,2.2,0,0,0,,0,0,,0.0,0.0,13,6.5,85,0,5,
MannAr00,Archie Manning,QB,1983,34,2TM,NFL,QB,5,3,3,12,0,1,33.3,11,4.0,2.4,0.6,0,0,0,,0,0,,0.0,0.0,3,4.0,12,0,2,
MannAr00,Archie Manning,QB,1983,34,HOU,NFL,QB,3,3,2,13,0,1,50.0,11,6.5,4.3,0.7,0,0,0,,0,0,,0.0,0.0,2,6.5,13,0,2,
MannAr00,Archie Manning,QB,1983,34,MIN,NFL,QB,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0.5,0,0,0,,0,0,,0.0,0.0,1,-1.0,-1,0,0,
MannAr00,Archie Manning,QB,1984,35,MIN,NFL,QB,6,2,11,42,0,2,36.4,16,3.8,7.0,1.8,0,0,0,,0,0,,0.0,0.0,11,3.8,42,0,4,
