player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_td,rec_first_down,rec_long,rec_per_g,rec_yds_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
BradTe00,Terry Bradshaw,QB,1970,22,PIT,NFL,QB,13,8,32,233,1,,,22,7.3,17.9,2.5,,0,0,0,,,0.0,0.0,32,7.3,233,1,3,
BradTe00,Terry Bradshaw,QB,1971,23,PIT,NFL,QB,14,13,53,247,5,,,39,4.7,17.6,3.8,,0,0,0,,,0.0,0.0,53,4.7,247,5,7,
BradTe00,Terry Bradshaw,QB,1972,24,PIT,NFL,QB,14,14,58,346,7,,,20,6.0,24.7,4.1,,0,0,0,,,0.0,0.0,58,6.0,346,7,4,
BradTe00,Terry Bradshaw,QB,1973,25,PIT,NFL,QB,10,9,34,145,3,,,21,4.3,14.5,3.4,,0,0,0,,,0.0,0.0,34,4.3,145,3,3,
BradTe00,Terry Bradshaw,QB,1974,26,PIT,NFL,QB,8,7,34,224,2,,,34,6.6,28.0,4.3,,0,0,0,,,0.0,0.0,34,6.6,224,2,1,
BradTe00,Terry Bradshaw,QB,1975,27,PIT,NFL,QB,14,14,35,210,3,,,27,6.0,15.0,2.5,,0,0,0,,,0.0,0.0,35,6.0,210,3,6,PB
BradTe00,Terry Bradshaw,QB,1976,28,PIT,NFL,QB,10,8,31,219,3,,,17,7.1,21.9,3.1,,0,0,0,,,0.0,0.0,31,7.1,219,3,7,
BradTe00,Terry Bradshaw,QB,1977,29,PIT,NFL,QB,14,14,31,171,3,,,26,5.5,12.2,2.2,,0,0,0,,,0.0,0.0,31,5.5,171,3,10,
BradTe00,Terry Bradshaw,QB,1978,30,PIT,NFL,QB,16,16,32,93,1,8,31.3,17,2.9,5.8,2.0,0,0,1,0,0,1,0.0,0.1,32,2.9,94,1,8,"PB,AP-1,AP MVP-1,AP OPoY-2"
BradTe00,Terry Bradshaw,QB,1979,31,PIT,NFL,QB,16,16,21,83,0,5,28.6,28,4.0,5.2,1.3,0,0,0,0,0,,0.0,0.0,21,4.0,83,0,10,"PB,AP MVP-4"
BradTe00,Terry Bradshaw,QB,1980,32,PIT,NFL,QB,15,15,36,111,2,10,33.3,18,3.1,7.4,2.4,0,0,0,0,0,,0.0,0.0,36,3.1,111,2,13,
BradTe00,Terry Bradshaw,QB,1981,33,PIT,NFL,QB,14,14,38,162,2,12,52.6,16,4.3,11.6,2.7,0,0,0,0,0,,0.0,0.0,38,4.3,162,2,7,
BradTe00,Terry Bradshaw,QB,1982,34,PIT,NFL,QB,9,9,8,10,0,0,0.0,6,1.3,1.1,0.9,0,0,0,0,0,,0.0,0.0,8,1.3,10,0,5,
BradTe00,Terry Bradshaw,QB,1983,35,PIT,NFL,QB,1,1,1,3,0,0,0.0,3,3.0,3.0,1.0,0,0,0,0,0,,0.0,0.0,1,3.0,3,0,0,
