player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
HassMa00,Matt Hasselbeck,QB,1999,24,GNB,NFL,QB,16,0,6,15,0,1,16.7,13,2.5,0.9,0.4,0,0,0,0,0,0.0,0.0,6,2.5,15,0,1,
HassMa00,Matt Hasselbeck,QB,2000,25,GNB,NFL,QB,16,0,4,-5,0,0,0.0,-1,-1.3,-0.3,0.3,0,0,0,0,0,0.0,0.0,4,-1.3,-5,0,0,
HassMa00,Matt Hasselbeck,QB,2001,26,SEA,NFL,QB,13,12,40,141,0,14,40.0,17,3.5,10.8,3.1,0,0,0,0,0,0.0,0.0,40,3.5,141,0,6,
HassMa00,Matt Hasselbeck,QB,2002,27,SEA,NFL,QB,16,10,40,202,1,17,65.0,21,5.1,12.6,2.5,0,0,0,0,0,0.0,0.0,40,5.1,202,1,5,
HassMa00,Matt Hasselbeck,QB,2003,28,SEA,NFL,QB,16,16,36,125,2,10,38.9,18,3.5,7.8,2.3,0,0,0,0,0,0.0,0.0,36,3.5,125,2,4,PB
HassMa00,Matt Hasselbeck,QB,2004,29,SEA,NFL,QB,14,14,27,90,1,6,29.6,19,3.3,6.4,1.9,0,0,0,0,0,0.0,0.0,27,3.3,90,1,5,
HassMa00,Matt Hasselbeck,QB,2005,30,SEA,NFL,QB,16,16,36,124,1,8,38.9,23,3.4,7.8,2.3,0,0,0,0,0,0.0,0.0,36,3.4,124,1,4,PB
HassMa00,Matt Hasselbeck,QB,2006,31,SEA,NFL,QB,12,12,18,110,0,8,55.6,19,6.1,9.2,1.5,0,0,0,0,0,0.0,0.0,18,6.1,110,0,3,
HassMa00,Matt Hasselbeck,QB,2007,32,SEA,NFL,QB,16,16,39,89,0,9,35.9,12,2.3,5.6,2.4,0,0,0,0,0,0.0,0.0,39,2.3,89,0,9,PB
HassMa00,Matt Hasselbeck,QB,2008,33,SEA,NFL,QB,7,7,11,69,0,5,81.8,15,6.3,9.9,1.6,0,0,0,0,0,0.0,0.0,11,6.3,69,0,1,
HassMa00,Matt Hasselbeck,QB,2009,34,SEA,NFL,QB,14,14,26,119,0,5,38.5,23,4.6,8.5,1.9,0,0,0,0,0,0.0,0.0,26,4.6,119,0,11,
HassMa00,Matt Hasselbeck,QB,2010,35,SEA,NFL,QB,14,14,23,60,3,7,43.5,20,2.6,4.3,1.6,0,0,0,0,0,0.0,0.0,23,2.6,60,3,7,
HassMa00,Matt Hasselbeck,QB,2011,36,TEN,NFL,QB,16,16,20,52,0,4,30.0,21,2.6,3.3,1.3,0,0,0,0,0,0.0,0.0,20,2.6,52,0,4,
HassMa00,Matt Hasselbeck,QB,2012,37,TEN,NFL,QB,8,5,13,38,0,2,23.1,16,2.9,4.8,1.6,0,0,0,0,0,0.0,0.0,13,2.9,38,0,3,
HassMa00,Matt Hasselbeck,QB,2013,38,IND,NFL,QB,3,0,2,-2,0,0,0.0,-1,-1.0,-0.7,0.7,0,0,0,0,0,0.0,0.0,2,-1.0,-2,0,0,
HassMa00,Matt Hasselbeck,QB,2014,39,IND,NFL,QB,4,0,8,-11,0,0,0.0,,-1.4,-2.8,2.0,0,0,0,0,0,0.0,0.0,8,-1.4,-11,0,1,
HassMa00,Matt Hasselbeck,QB,2015,40,IND,NFL,QB,8,8,16,15,0,2,25.0,10,0.9,1.9,2.0,0,0,0,0,0,0.0,0.0,16,0.9,15,0,3,
