player_id,player_name,position,year_id,team_name_abbr,age,comp_name_abbr,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds,awards
SmitJi00,Jimmy Smith,WR,1993,Did not play - Injured (appendicitis/complications),,,,,,,,,,,,,,,,
SmitJi00,Jimmy Smith,WR,1994,Did not play - Out of NFL,,,,,,,,,,,,,,,,
SmitJi00,Jimmy Smith,WR,1995,JAX,26,NFL,WR,16,4,0,0,0,0,24,540,1,89,22.5,828,
SmitJi00,Jimmy Smith,WR,1996,JAX,27,NFL,WR,16,9,0,0,0,0,2,49,0,29,24.5,1293,
