player_id,player_name,position,year_id,team_name_abbr,age,comp_name_abbr,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,awards
SmitJi00,Jimmy Smith,WR,1993,Did not play - Injured (appendicitis/complications),,,,,,,,,,,,,,,,,,,,,,
SmitJi00,Jimmy Smith,WR,1994,Did not play - Out of NFL,,,,,,,,,,,,,,,,,,,,,,
SmitJi00,Jimmy Smith,WR,1995,JAX,26,NFL,WR,16,4,0,3,0,1,0,0,1,5,0,0,0,0,0,0,30,1.9,
SmitJi00,Jimmy Smith,WR,1996,JAX,27,NFL,WR,16,9,0,7,0,0,0,0,0,7,0,0,0,0,0,0,42,2.6,
SmitJi00,Jimmy Smith,WR,1997,JAX,28,NFL,WR,16,16,0,4,0,0,0,0,0,4,0,0,0,0,0,0,24,1.5,PB
SmitJi00,Jimmy Smith,WR,1998,JAX,29,NFL,WR,16,15,0,8,0,0,0,0,0,8,0,0,0,0,0,0,48,3.0,"PB,AP-2"
SmitJi00,Jimmy Smith,WR,1999,JAX,30,NFL,WR,16,16,0,6,0,0,0,0,0,6,1,0,0,0,0,0,38,2.4,"PB,AP-2"
SmitJi00,Jimmy Smith,WR,2000,JAX,31,NFL,WR,15,14,0,8,0,0,0,0,0,8,0,0,0,0,0,0,48,3.2,PB
SmitJi00,Jimmy Smith,WR,2001,JAX,32,NFL,WR,16,16,0,8,0,0,0,0,0,8,0,0,0,0,0,0,48,3.0,"PB,AP CPoY-2"
SmitJi00,Jimmy Smith,WR,2002,JAX,33,NFL,WR,16,16,0,7,0,0,0,0,0,7,1,0,0,0,0,0,44,2.8,
SmitJi00,Jimmy Smith,WR,2003,JAX,34,NFL,WR,12,12,0,4,0,0,0,0,0,4,0,0,0,0,0,0,24,2.0,
SmitJi00,Jimmy Smith,WR,2004,JAX,35,NFL,WR,16,16,0,6,0,0,0,0,0,6,0,0,0,0,0,0,36,2.3,
SmitJi00,Jimmy Smith,WR,2005,JAX,36,NFL,WR,16,16,0,6,0,0,0,0,0,6,0,0,0,0,0,0,36,2.3,
