player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_yac,rec_adot,rec_broken_tackles,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,awards
JoneRo01,Ronald Jones II,RB,2020,23,TAM,NFL,RB,3,0,35,139,8,67,1.9,72,2.1,2,17.5,2,0,0,0,0,0,0.0,0,1,50.0,0,39.6,
JoneRo01,Ronald Jones II,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoneRo01,Ronald Jones II,RB,2022,25,KAN,NFL,RB,1,0,1,0,0,0,0.0,0,0.0,0,,0,0,0,0,0,0,,0,0,,,,
