player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds,awards
ShakKh00,Khalil Shakir,WR,2022,22,BUF,NFL,WR,14,2,3,23,0,17,7.7,1,34,0,34,34.0,218,
ShakKh00,Khalil Shakir,WR,2023,23,BUF,NFL,WR,17,10,5,37,0,10,7.4,5,98,0,27,19.6,756,
ShakKh00,Khalil Shakir,WR,,,,,,,,,,,,,,,,,,,
ShakKh00,Khalil Shakir,WR,2025,25,BUF,NFL,WR,8,5,5,28,0,11,5.6,0,0,0,0,,432,
