player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,awards
HoarLe00,Leroy Hoard,RB,1990,22,CLE,NFL,RB,14,5,0,0,0,0,,0,6,0,0,0,0.0,0,0,0,0,
HoarLe00,Leroy Hoard,RB,1991,23,CLE,NFL,RB,16,9,0,0,0,0,,0,1,1,4,0,0.0,0,0,0,0,
HoarLe00,Leroy Hoard,RB,1992,24,CLE,NFL,RB,16,9,0,0,0,0,,0,3,1,0,0,0.0,0,0,0,0,
HoarLe00,Leroy Hoard,RB,1993,25,CLE,NFL,FB,16,7,0,0,0,0,,0,4,0,0,0,0.0,0,0,0,0,
HoarLe00,Leroy Hoard,RB,1994,26,CLE,NFL,FB,16,12,0,0,0,0,,0,8,0,0,0,0.0,0,0,0,0,PB
HoarLe00,Leroy Hoard,RB,1995,27,CLE,NFL,RB,12,12,0,0,0,0,,0,5,0,0,0,0.0,0,0,0,0,
HoarLe00,Leroy Hoard,RB,1996,28,3TM,NFL,RB,11,7,0,0,0,0,,0,3,0,0,0,0.0,0,0,0,0,
HoarLe00,Leroy Hoard,RB,1996,28,MIN,NFL,RB,6,6,0,0,0,0,,0,3,0,0,0,0.0,0,0,0,0,
HoarLe00,Leroy Hoard,RB,,,,,,,,,,,,,,,,,,,,,,,
HoarLe00,Leroy Hoard,RB,1998,30,MIN,NFL,RB,16,1,0,0,0,0,,0,1,1,0,0,0.0,0,0,0,0,
HoarLe00,Leroy Hoard,RB,1999,31,MIN,NFL,RB,15,3,0,0,0,0,0,0,4,0,0,0,0.0,,,,0,
