player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_yac,rec_broken_tackles,rec_drops,awards
GaroJi00,Jimmy Garoppolo,QB,2019,28,SFO,NFL,QB,3,3,10,1,2,-2,-0.2,3,0.3,0,0,0,0,0,0,0,0,0,
GaroJi00,Jimmy Garoppolo,QB,,,,,,,,,,,,,,,,,,,,,,,,
GaroJi00,Jimmy Garoppolo,QB,2021,30,SFO,NFL,QB,3,3,2,5,0,1,0.5,4,2.0,0,0,0,0,0,0,0,0,0,
