player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,awards
RiddRo00,Robb Riddick,RB,1986,29,BUF,NFL,RB,15,8,4,1,0,0,0,0,0,5,0,0,0,0,0,30,2.0,
RiddRo00,Robb Riddick,RB,1987,30,BUF,NFL,RB,6,1,5,3,0,0,0,0,0,8,0,0,0,0,1,50,8.3,
RiddRo00,Robb Riddick,RB,1988,31,BUF,NFL,RB,15,0,12,1,0,0,0,0,1,14,0,0,0,0,0,84,5.6,
