player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,awards
CrowJa00,Jamison Crowder,WR,2015,22,WAS,NFL,WR,16,6,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,
CrowJa00,Jamison Crowder,WR,2016,23,WAS,NFL,WR,16,9,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
CrowJa00,Jamison Crowder,WR,2017,24,WAS,NFL,WR,15,6,0,0,0,0,0,0,6,1,0,0,0.0,1,1,0,0,1,0,
CrowJa00,Jamison Crowder,WR,,,,,,,,,,,,,,,,,,,,,,,,,
CrowJa00,Jamison Crowder,WR,2019,26,NYJ,NFL,WR,16,12,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
CrowJa00,Jamison Crowder,WR,,,,,,,,,,,,,,,,,,,,,,,,,
CrowJa00,Jamison Crowder,WR,2021,28,NYJ,NFL,WR,12,4,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,
CrowJa00,Jamison Crowder,WR,2022,29,BUF,NFL,WR,4,0,0,0,0,0,0,0,1,1,12,0,0.0,1,1,0,0,0,0,
CrowJa00,Jamison Crowder,WR,2023,30,WAS,NFL,WR,17,0,0,0,0,0,0,0,2,1,2,0,0.0,0,0,0,0,0,0,
CrowJa00,Jamison Crowder,WR,2024,31,WAS,NFL,WR,6,1,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
