player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
GarcJe00,Jeff Garcia,QB,2001,31,SFO,NFL,QB,1,1,0-1-0,22,32,68.8,233,1,3.1,1,3.1,13,52.9,22,7.3,6.50,10.6,233.0,87.1,2,14,5.88,6.44,5.71,0,0,
GarcJe00,Jeff Garcia,QB,2002,32,SFO,NFL,QB,2,2,1-1-0,49,85,57.6,524,3,3.5,4,4.7,27,43.8,76,6.2,4.75,10.7,262.0,68.0,4,27,4.49,5.58,4.24,1,1,
GarcJe00,Jeff Garcia,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GarcJe00,Jeff Garcia,QB,2006,36,PHI,NFL,QB,2,2,1-1-0,32,61,52.5,393,2,3.3,0,0.0,16,39.1,75,6.4,7.10,12.3,196.5,83.6,3,23,4.69,5.78,6.41,0,1,
GarcJe00,Jeff Garcia,QB,2007,37,TAM,NFL,QB,1,1,0-1-0,23,39,59.0,207,1,2.6,2,5.1,12,50.0,26,5.3,3.51,9.0,207.0,60.5,1,5,2.50,5.05,3.30,0,0,
