player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds,awards
WilsWa02,Wayne Wilson,RB,1979,22,NOR,NFL,RB,14,0,0,0,0,0,11,230,0,31,20.9,256,
WilsWa02,Wayne Wilson,RB,1980,23,NOR,NFL,FB,15,7,0,0,0,0,9,159,0,27,17.7,588,
WilsWa02,Wayne Wilson,RB,1981,24,NOR,NFL,RB,16,0,0,0,0,0,31,722,0,57,23.3,1243,
WilsWa02,Wayne Wilson,RB,1982,25,NOR,NFL,FB,8,7,0,0,0,0,7,192,0,75,27.4,780,
WilsWa02,Wayne Wilson,RB,1983,26,NOR,NFL,FB,14,8,0,0,0,0,9,239,0,52,26.6,1204,
WilsWa02,Wayne Wilson,RB,1984,27,NOR,NFL,RB,14,2,0,0,0,0,1,23,0,23,23.0,598,
WilsWa02,Wayne Wilson,RB,,,,,,,,,,,,,,,,,,
WilsWa02,Wayne Wilson,RB,1986,29,2TM,NFL,RB,12,0,0,0,0,0,2,33,0,26,16.5,49,
WilsWa02,Wayne Wilson,RB,1986,29,MIN,NFL,RB,7,0,0,0,0,0,2,33,0,26,16.5,47,
WilsWa02,Wayne Wilson,RB,1987,30,WAS,NFL,RB,2,0,0,0,0,0,2,32,0,18,16.0,103,
