player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,awards
BenjTr00,Travis Benjamin,WR,2018,29,LAC,NFL,WR,12,3,24,12,186,9,124,10.3,62,5.2,19.8,0,,3,12.5,2,55.2,7,41,2,36,5.1,5,0.7,0,
BenjTr00,Travis Benjamin,WR,2019,30,LAC,NFL,WR,5,2,16,6,30,3,11,1.8,19,3.2,12.9,1,6.0,2,12.5,0,45.8,0,0,0,0,,0,,0,
BenjTr00,Travis Benjamin,WR,2020,,Did not play - Opted out during COVID-19 pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenjTr00,Travis Benjamin,WR,2021,32,SFO,NFL,WR,10,0,5,0,0,0,0,,0,,28.2,0,,0,0.0,2,0.0,0,0,0,0,,0,,0,
