player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,awards
HowaJo00,Jordan Howard,RB,2018,24,CHI,NFL,RB,1,1,10,35,2,13,1.3,22,2.2,0,1,0,0,0,0,,0,,0.0,0,0,0.0,0,39.6,
HowaJo00,Jordan Howard,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HowaJo00,Jordan Howard,RB,2021,27,PHI,NFL,RB,1,0,0,0,0,0,,0,,0,1,1,7,0,-4,-4.0,11,11.0,-4.0,0,0,0.0,0,95.8,
