player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
RoetBe00,Ben Roethlisberger,QB,2004,22,PIT,NFL,QB,2,2,1-1-0,31,54,57.4,407,3,5.6,5,9.3,24,50.0,34,7.5,4.48,13.1,203.5,61.3,2,11,3.57,7.07,4.13,1,1,
RoetBe00,Ben Roethlisberger,QB,2005,23,PIT,NFL,QB,4,4,4-0-0,58,93,62.4,803,7,7.5,3,3.2,37,47.5,54,8.6,8.69,13.8,200.8,101.7,6,35,6.06,7.76,7.81,0,0,
RoetBe00,Ben Roethlisberger,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoetBe00,Ben Roethlisberger,QB,2007,25,PIT,NFL,QB,1,1,0-1-0,29,42,69.0,337,2,4.8,3,7.1,17,54.2,37,8.0,5.76,11.6,337.0,79.2,6,40,12.50,6.19,4.21,0,0,
RoetBe00,Ben Roethlisberger,QB,2008,26,PIT,NFL,QB,3,3,3-0-0,54,89,60.7,692,3,3.4,1,1.1,29,42.3,65,7.8,7.94,12.8,230.7,91.6,8,58,8.25,6.54,6.69,1,1,
RoetBe00,Ben Roethlisberger,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoetBe00,Ben Roethlisberger,QB,2010,28,PIT,NFL,QB,3,3,2-1-0,54,91,59.3,622,4,4.4,4,4.4,32,45.0,58,6.8,5.74,11.5,207.3,76.4,9,48,9.00,5.74,4.74,0,1,
RoetBe00,Ben Roethlisberger,QB,2011,29,PIT,NFL,QB,1,1,0-1-0,22,40,55.0,289,1,2.5,1,2.5,11,40.0,33,7.2,6.60,13.1,289.0,75.9,5,45,11.11,5.42,4.87,0,0,
RoetBe00,Ben Roethlisberger,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoetBe00,Ben Roethlisberger,QB,2014,32,PIT,NFL,QB,1,1,0-1-0,31,45,68.9,334,1,2.2,2,4.4,16,44.0,44,7.4,5.87,10.8,334.0,79.3,5,37,10.00,5.94,4.54,0,0,
RoetBe00,Ben Roethlisberger,QB,2015,33,PIT,NFL,QB,2,2,1-1-0,42,68,61.8,568,1,1.5,0,0.0,20,39.2,60,8.4,8.65,13.5,284.0,93.3,6,55,8.11,6.93,7.20,1,1,
RoetBe00,Ben Roethlisberger,QB,2016,34,PIT,NFL,QB,3,3,2-1-0,64,96,66.7,735,3,3.1,4,4.2,35,54.1,62,7.7,6.41,11.5,245.0,82.6,2,15,2.04,7.35,6.12,0,0,
RoetBe00,Ben Roethlisberger,QB,2017,35,PIT,NFL,QB,1,1,0-1-0,37,58,63.8,469,5,8.6,1,1.7,24,50.0,43,8.1,9.03,12.7,469.0,110.5,2,7,3.33,7.70,8.62,0,0,
RoetBe00,Ben Roethlisberger,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoetBe00,Ben Roethlisberger,QB,2020,38,PIT,NFL,QB,1,1,0-1-0,47,68,69.1,501,4,5.9,4,5.9,29,58.8,33,7.4,5.90,10.7,501.0,85.5,0,0,0.00,7.37,5.90,0,0,
RoetBe00,Ben Roethlisberger,QB,2021,39,PIT,NFL,QB,1,1,0-1-0,29,44,65.9,215,2,4.5,0,0.0,15,50.0,22,4.9,5.80,7.4,215.0,92.5,2,14,4.35,4.37,5.24,0,0,
