player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,awards
AdamDa01,Davante Adams,WR,2018,26,GNB,NFL,WR,15,15,169,111,1386,64,911,8.2,475,4.3,11.3,4,27.8,5,3.0,0,116.6,0,0,0,0,,0,,0,,PB
AdamDa01,Davante Adams,WR,2019,27,GNB,NFL,WR,12,12,127,83,997,54,609,7.3,388,4.7,10.0,3,27.7,7,5.5,1,99.1,0,0,0,0,,0,,0,,PB
AdamDa01,Davante Adams,WR,2020,28,GNB,NFL,WR,14,14,149,115,1374,73,777,6.8,597,5.2,8.9,2,57.5,1,0.7,3,136.0,0,0,0,0,,0,,0,,"PB,AP-1"
AdamDa01,Davante Adams,WR,2021,29,GNB,NFL,WR,16,16,169,123,1553,84,961,7.8,592,4.8,9.6,5,24.6,3,1.8,3,115.3,0,0,0,0,,0,,0,,"PB,AP-1"
AdamDa01,Davante Adams,WR,2022,30,LVR,NFL,WR,17,17,180,100,1516,65,1023,10.2,493,4.9,11.8,9,11.1,7,3.9,6,95.5,3,-1,0,-1,-0.3,0,0.0,1,3.0,"PB,AP-1"
AdamDa01,Davante Adams,WR,2023,31,LVR,NFL,WR,17,17,175,103,1144,59,808,7.8,336,3.3,10.9,2,51.5,8,4.6,6,79.3,0,0,0,0,,0,,0,,
AdamDa01,Davante Adams,WR,2024,32,2TM,NFL,WR,14,14,141,85,1063,49,590,6.9,473,5.6,8.2,7,12.1,6,4.3,3,93.8,0,0,0,0,,0,,0,,
AdamDa01,Davante Adams,WR,2024,32,LVR,NFL,WR,3,3,27,18,209,10,164,9.1,45,2.5,9.6,0,,1,3.7,1,86.8,0,0,0,0,,0,,0,,
AdamDa01,Davante Adams,WR,2024,32,NYJ,NFL,WR,11,11,114,67,854,39,426,6.4,428,6.4,7.9,7,9.6,5,4.4,2,95.4,0,0,0,0,,0,,0,,
AdamDa01,Davante Adams,WR,2025,33,LAR,NFL,WR,8,8,70,36,491,28,414,11.5,77,2.1,12.4,0,,4,5.7,1,106.3,0,0,0,0,,0,,0,,
