player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
MoorNa00,Nat Moore,WR,1974,23,MIA,NFL,WR,13,7,1,1,100.0,31,0,0.0,0,0.0,,31,31.0,31.00,31.0,2.4,118.7,0,0,0.00,31.00,31.00,0,0,
MoorNa00,Nat Moore,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoorNa00,Nat Moore,WR,1980,29,MIA,NFL,WR,16,16,0,1,0.0,0,0,0.0,0,0.0,0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
