player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
HolmRo00,Rodney Holman,TE,1982,22,CIN,NFL,TE,9,0,3,3,18,6.0,1,3,100.0,10,0.3,2.0,100.0,6.0,0,0,0,0,0.0,0.0,3,6.0,18,1,0,0,
HolmRo00,Rodney Holman,TE,1983,23,CIN,NFL,TE,16,0,6,2,15,7.5,0,2,33.3,10,0.1,0.9,33.3,2.5,0,0,0,0,0.0,0.0,2,7.5,15,0,0,0,
HolmRo00,Rodney Holman,TE,1984,24,CIN,NFL,TE,16,2,26,21,239,11.4,1,11,57.7,27,1.3,14.9,80.8,9.2,0,0,0,0,0.0,0.0,21,11.4,239,1,1,2,
HolmRo00,Rodney Holman,TE,1985,25,CIN,NFL,TE,16,16,50,38,479,12.6,7,23,62.0,64,2.4,29.9,76.0,9.6,0,0,0,0,0.0,0.0,38,12.6,479,7,1,5,
HolmRo00,Rodney Holman,TE,1986,26,CIN,NFL,TE,16,16,54,40,570,14.3,2,28,64.8,34,2.5,35.6,74.1,10.6,0,0,0,0,0.0,0.0,40,14.3,570,2,1,6,
HolmRo00,Rodney Holman,TE,1987,27,CIN,NFL,TE,12,12,48,28,438,15.6,2,20,50.0,61,2.3,36.5,58.3,9.1,0,0,0,0,0.0,0.0,28,15.6,438,2,0,4,
HolmRo00,Rodney Holman,TE,1988,28,CIN,NFL,TE,16,16,54,39,527,13.5,3,28,66.7,33,2.4,32.9,72.2,9.8,0,0,0,0,0.0,0.0,39,13.5,527,3,2,7,PB
HolmRo00,Rodney Holman,TE,1989,29,CIN,NFL,TE,16,15,82,50,736,14.7,9,38,54.9,73,3.1,46.0,61.0,9.0,0,0,0,0,0.0,0.0,50,14.7,736,9,0,8,"PB,AP-2"
HolmRo00,Rodney Holman,TE,1990,30,CIN,NFL,TE,16,15,68,40,596,14.9,5,32,54.4,53,2.5,37.3,58.8,8.8,0,0,0,0,0.0,0.0,40,14.9,596,5,1,7,"PB,AP-2"
HolmRo00,Rodney Holman,TE,1991,31,CIN,NFL,TE,16,15,53,31,445,14.4,2,19,49.1,39,1.9,27.8,58.5,8.4,0,0,0,0,0.0,0.0,31,14.4,445,2,1,3,
HolmRo00,Rodney Holman,TE,1992,32,CIN,NFL,TE,16,13,39,26,266,10.2,2,18,64.1,26,1.6,16.6,66.7,6.8,0,0,0,0,0.0,0.0,26,10.2,266,2,0,3,
HolmRo00,Rodney Holman,TE,1993,33,DET,NFL,TE,16,16,37,25,244,9.8,2,12,51.4,28,1.6,15.3,67.6,6.6,0,0,0,0,0.0,0.0,25,9.8,244,2,1,2,
HolmRo00,Rodney Holman,TE,1994,34,DET,NFL,TE,15,7,23,17,163,9.6,0,10,56.5,18,1.1,10.9,73.9,7.1,0,0,0,0,0.0,0.0,17,9.6,163,0,1,2,
HolmRo00,Rodney Holman,TE,1995,35,DET,NFL,TE,16,3,5,5,35,7.0,0,3,100.0,9,0.3,2.2,100.0,7.0,0,0,0,0,0.0,0.0,5,7.0,35,0,0,0,
