player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
MasoDe00,Derrick Mason,WR,1999,25,TEN,NFL,WR,4,0,6,2,18,9.0,0,1,33.3,9,0.5,4.5,33.3,3.0,0,0,0,0,,,,0.0,0.0,2,9.0,18,0,2,
MasoDe00,Derrick Mason,WR,2000,26,TEN,NFL,WR,1,1,15,7,88,12.6,0,6,46.7,19,7.0,88.0,46.7,5.9,0,0,0,0,,,,0.0,0.0,7,12.6,88,0,0,
MasoDe00,Derrick Mason,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasoDe00,Derrick Mason,WR,2002,28,TEN,NFL,WR,2,2,16,10,88,8.8,0,5,50.0,18,5.0,44.0,62.5,5.5,2,20,0,1,100.0,16,10.0,10.0,1.0,12,9.0,108,0,0,
MasoDe00,Derrick Mason,WR,2003,29,TEN,NFL,WR,2,2,18,10,118,11.8,1,7,55.6,29,5.0,59.0,55.6,6.6,0,0,0,0,,,,0.0,0.0,10,11.8,118,1,0,
MasoDe00,Derrick Mason,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasoDe00,Derrick Mason,WR,2006,32,BAL,NFL,WR,1,1,3,2,16,8.0,0,0,0.0,9,2.0,16.0,66.7,5.3,0,0,0,0,,,,0.0,0.0,2,8.0,16,0,0,
MasoDe00,Derrick Mason,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasoDe00,Derrick Mason,WR,2008,34,BAL,NFL,WR,3,3,26,12,190,15.8,1,10,42.3,48,4.0,63.3,46.2,7.3,0,0,0,0,,,,0.0,0.0,12,15.8,190,1,0,
MasoDe00,Derrick Mason,WR,2009,35,BAL,NFL,WR,2,2,10,5,72,14.4,0,4,50.0,27,2.5,36.0,50.0,7.2,0,0,0,0,,,,0.0,0.0,5,14.4,72,0,0,
MasoDe00,Derrick Mason,WR,2010,36,BAL,NFL,WR,2,2,7,1,11,11.0,0,1,14.3,11,0.5,5.5,14.3,1.6,0,0,0,0,,,,0.0,0.0,1,11.0,11,0,0,
