player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,awards
HopkDe00,DeAndre Hopkins,WR,2018,26,HOU,NFL,WR,16,16,163,115,1572,81,1185,10.3,387,3.4,11.5,5,23.0,2,1.2,3,115.9,1,-7,0,-7,-7.0,0,0.0,0,"PB,AP-1,AP OPoY-3"
HopkDe00,DeAndre Hopkins,WR,2019,27,HOU,NFL,WR,15,15,150,104,1165,68,778,7.5,387,3.7,10.1,9,11.6,4,2.7,1,105.0,2,18,2,15,7.5,3,1.5,0,"PB,AP-1"
HopkDe00,DeAndre Hopkins,WR,2020,28,ARI,NFL,WR,16,16,160,115,1407,75,873,7.6,534,4.6,8.9,15,7.7,2,1.3,2,105.9,1,1,0,0,0.0,1,1.0,0,"PB,AP-2"
HopkDe00,DeAndre Hopkins,WR,2021,29,ARI,NFL,WR,10,10,64,42,572,32,432,10.3,140,3.3,12.3,0,,1,1.6,0,133.6,0,0,0,0,,0,,0,
HopkDe00,DeAndre Hopkins,WR,2022,30,ARI,NFL,WR,9,9,96,64,717,35,552,8.6,165,2.6,10.2,1,64.0,5,5.2,3,86.2,0,0,0,0,,0,,0,
HopkDe00,DeAndre Hopkins,WR,2023,31,TEN,NFL,WR,17,16,137,75,1057,48,834,11.1,223,3.0,14.1,4,18.8,4,2.9,6,78.6,2,9,0,4,2.0,5,2.5,0,
HopkDe00,DeAndre Hopkins,WR,2024,32,2TM,NFL,WR,16,8,80,56,610,35,501,8.9,109,1.9,10.4,3,18.7,2,2.5,2,102.6,0,0,0,0,,0,,0,
HopkDe00,DeAndre Hopkins,WR,2024,32,TEN,NFL,WR,6,3,21,15,173,10,172,11.5,1,0.1,10.2,2,7.5,1,4.8,2,72.2,0,0,0,0,,0,,0,
HopkDe00,DeAndre Hopkins,WR,2024,32,KAN,NFL,WR,10,5,59,41,437,25,329,8.0,108,2.6,10.4,1,41.0,1,1.7,0,113.5,0,0,0,0,,0,,0,
HopkDe00,DeAndre Hopkins,WR,2025,33,BAL,NFL,WR,8,1,15,10,192,9,161,16.1,31,3.1,18.3,0,,0,0.0,0,149.3,0,0,0,0,,0,,0,
