player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,xpa,xpm,xp_pct,awards
LargSt00,Steve Largent,WR,1985,31,SEA,NFL,WR,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,"PB,AP-1"
LargSt00,Steve Largent,WR,,,,,,,,,,,,,,,,,,,,,,,
LargSt00,Steve Largent,WR,1989,35,SEA,NFL,WR,10,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,
