player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
MoorMe00,Mewelde Moore,RB,2004,22,MIN,NFL,RB,2,0,1,0,0,0,0.0,,0.0,0.0,0.5,2,2,20,10.0,0,2,100.0,12,1.0,10.0,100.0,10.0,3,6.7,20,0,0,
MoorMe00,Mewelde Moore,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoorMe00,Mewelde Moore,RB,2008,26,PIT,NFL,RB,3,0,5,25,0,1,40.0,6,5.0,8.3,1.7,5,4,25,6.3,0,0,20.0,9,1.3,8.3,80.0,5.0,9,5.6,50,0,0,
MoorMe00,Mewelde Moore,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoorMe00,Mewelde Moore,RB,2010,28,PIT,NFL,RB,3,0,6,22,0,3,66.7,7,3.7,7.3,2.0,1,1,9,9.0,0,1,100.0,9,0.3,3.0,100.0,9.0,7,4.4,31,0,0,
MoorMe00,Mewelde Moore,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoorMe00,Mewelde Moore,RB,2012,30,IND,NFL,RB,1,0,3,11,0,0,0.0,6,3.7,11.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,3.7,11,0,0,
