player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
AlleMa00,Marcus Allen,RB,1982,22,RAI,NFL,RB,9,9,1,4,25.0,47,0,0.0,0,0.0,1,25.0,47,11.8,11.75,47.0,5.2,76.0,0,0,0.00,11.75,11.75,0,0,"PB,AP-1,AP MVP-3,AP OPoY-2,AP ORoY-1"
AlleMa00,Marcus Allen,RB,1983,23,RAI,NFL,RB,16,15,4,7,57.1,111,3,42.9,0,0.0,4,40.0,43,15.9,24.43,27.8,6.9,141.4,3,26,30.00,8.50,14.50,0,0,
AlleMa00,Marcus Allen,RB,1984,24,RAI,NFL,RB,16,16,1,4,25.0,38,0,0.0,0,0.0,1,20.0,38,9.5,9.50,38.0,2.4,66.7,1,2,20.00,7.20,7.20,0,0,"PB,AP-2"
AlleMa00,Marcus Allen,RB,1985,25,RAI,NFL,RB,16,16,1,2,50.0,16,0,0.0,0,0.0,1,50.0,16,8.0,8.00,16.0,1.0,77.1,0,0,0.00,8.00,8.00,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
AlleMa00,Marcus Allen,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleMa00,Marcus Allen,RB,1987,27,RAI,NFL,RB,12,12,1,2,50.0,23,0,0.0,0,0.0,1,33.3,23,11.5,11.50,23.0,1.9,91.7,1,3,33.33,6.67,6.67,0,0,PB
AlleMa00,Marcus Allen,RB,1988,28,RAI,NFL,RB,15,15,1,2,50.0,21,0,0.0,0,0.0,1,33.3,21,10.5,10.50,21.0,1.4,87.5,1,1,33.33,6.67,6.67,0,0,
AlleMa00,Marcus Allen,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleMa00,Marcus Allen,RB,1990,30,RAI,NFL,RB,16,15,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
AlleMa00,Marcus Allen,RB,1991,31,RAI,NFL,RB,8,2,1,2,50.0,11,1,50.0,0,0.0,1,50.0,11,5.5,15.50,11.0,1.4,106.2,0,0,0.00,5.50,15.50,0,0,
AlleMa00,Marcus Allen,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleMa00,Marcus Allen,RB,1996,36,KAN,NFL,RB,16,15,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
AlleMa00,Marcus Allen,RB,1997,37,KAN,NFL,RB,16,0,2,2,100.0,15,2,100.0,0,0.0,2,100.0,14,7.5,27.50,7.5,0.9,137.5,0,0,0.00,7.50,27.50,0,0,
