player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,awards
McKiJe00,Jerick McKinnon,RB,2021,29,KAN,NFL,RB,3,3,34,150,6,82,2.4,68,2.0,0,17,14,165,11,-31,-2.2,196,14.0,-1.5,0,1,5.9,0,126.7,
McKiJe00,Jerick McKinnon,RB,2022,30,KAN,NFL,RB,3,0,19,60,3,50,2.6,10,0.5,0,7,5,32,1,3,0.6,29,5.8,-0.3,0,1,14.3,0,80.7,
McKiJe00,Jerick McKinnon,RB,2023,31,KAN,NFL,RB,1,0,0,0,0,0,,0,,0,2,2,15,1,1,0.5,14,7.0,0.5,0,0,0.0,0,97.9,
