player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
PaytWa00,Walter Payton,RB,1975,22,CHI,NFL,RB,13,7,0,1,0.0,0,0,0.0,1,100.0,,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
PaytWa00,Walter Payton,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaytWa00,Walter Payton,RB,1979,26,CHI,NFL,RB,16,16,1,1,100.0,54,1,100.0,0,0.0,1,100.0,54,54.0,74.00,54.0,3.4,158.3,0,0,0.00,54.00,74.00,0,0,"PB,AP-2"
PaytWa00,Walter Payton,RB,1980,27,CHI,NFL,RB,16,16,0,3,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-1"
PaytWa00,Walter Payton,RB,1981,28,CHI,NFL,RB,16,16,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
PaytWa00,Walter Payton,RB,1982,29,CHI,NFL,RB,9,9,1,3,33.3,39,1,33.3,0,0.0,1,33.3,39,13.0,19.67,39.0,4.3,121.5,0,0,0.00,13.00,19.67,0,0,
PaytWa00,Walter Payton,RB,1983,30,CHI,NFL,RB,16,16,3,6,50.0,95,3,50.0,2,33.3,3,50.0,56,15.8,10.83,31.7,5.9,95.8,0,0,0.00,15.83,10.83,0,0,PB
PaytWa00,Walter Payton,RB,1984,31,CHI,NFL,RB,16,16,3,8,37.5,47,2,25.0,1,12.5,3,37.5,42,5.9,5.25,15.7,2.9,57.8,0,0,0.00,5.88,5.25,0,0,"PB,AP-1,AP MVP-3"
PaytWa00,Walter Payton,RB,1985,32,CHI,NFL,RB,16,16,3,5,60.0,96,1,20.0,0,0.0,3,60.0,50,19.2,23.20,32.0,6.0,143.7,0,0,0.00,19.20,23.20,0,0,"PB,AP-1,AP MVP-2,AP OPoY-2"
PaytWa00,Walter Payton,RB,1986,33,CHI,NFL,RB,16,16,0,4,0.0,0,0,0.0,1,25.0,0,,,0.0,-11.25,,0.0,0.0,0,0,0.00,0.00,-11.25,0,0,"PB,AP-2,AP MVP-6"
PaytWa00,Walter Payton,RB,1987,34,CHI,NFL,RB,12,12,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
