player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
WallSe00,Seneca Wallace,QB,2005,25,SEA,NFL,QB,7,0,6,-5,0,0,0.0,,-0.8,-0.7,0.9,0,0,0,,0,0,,,0.0,0.0,,,6,-0.8,-5,0,2,
WallSe00,Seneca Wallace,QB,2006,26,SEA,NFL,QB,8,4,12,122,0,6,50.0,37,10.2,15.3,1.5,0,0,0,,0,0,,,0.0,0.0,,,12,10.2,122,0,5,
WallSe00,Seneca Wallace,QB,2007,27,SEA,NFL,QB,10,0,4,17,0,2,75.0,11,4.3,1.7,0.4,3,2,47,23.5,0,2,66.7,29,0.2,4.7,66.7,15.7,6,10.7,64,0,1,
WallSe00,Seneca Wallace,QB,2008,28,SEA,NFL,QB,10,8,16,78,0,6,37.5,23,4.9,7.8,1.6,0,0,0,,0,0,,,0.0,0.0,,,16,4.9,78,0,4,
WallSe00,Seneca Wallace,QB,2009,29,SEA,NFL,QB,13,2,16,2,1,3,18.8,10,0.1,0.2,1.2,3,2,29,14.5,0,2,66.7,24,0.2,2.2,66.7,9.7,18,1.7,31,1,5,
WallSe00,Seneca Wallace,QB,2010,30,CLE,NFL,QB,8,4,7,9,0,1,28.6,6,1.3,1.1,0.9,1,1,9,9.0,0,1,100.0,9,0.1,1.1,100.0,9.0,8,2.3,18,0,1,
WallSe00,Seneca Wallace,QB,2011,31,CLE,NFL,QB,6,3,7,70,0,4,57.1,27,10.0,11.7,1.2,1,1,21,21.0,0,1,100.0,21,0.2,3.5,100.0,21.0,8,11.4,91,0,1,
