player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,awards
LambCe00,CeeDee Lamb,WR,2021,22,DAL,NFL,WR,1,1,5,1,21,1,21,21.0,0,0.0,10.0,0,1,20.0,0,44.6,1,5,1,3,3.0,2,2.0,0,
LambCe00,CeeDee Lamb,WR,2022,23,DAL,NFL,WR,2,2,19,14,185,8,127,9.1,58,4.1,8.6,0,2,10.5,1,99.7,2,6,1,6,3.0,0,0.0,0,
LambCe00,CeeDee Lamb,WR,2023,24,DAL,NFL,WR,1,1,17,9,110,7,75,8.3,35,3.9,12.0,0,2,11.8,1,48.7,1,5,0,2,2.0,3,3.0,0,
