player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,rec,rec_yds,rec_td,rec_per_g,rec_yds_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
CalhDo00,Don Calhoun,RB,1974,22,BUF,NFL,RB,1,0,0,0,0,,,0.0,0.0,0,0,0,0.0,0.0,0,,0,0,0,
CalhDo00,Don Calhoun,RB,,,,,,,,,,,,,,,,,,,,,,,,,
CalhDo00,Don Calhoun,RB,1976,24,NWE,NFL,RB,1,0,5,17,0,7,3.4,17.0,5.0,0,0,0,0.0,0.0,5,3.4,17,0,0,
