player_id,player_name,position,year,team,level,pos,voters
SmitJT00,J.T. Smith,WR,1980,1st Tm,All-Conf.,PR,Pro Football Weekly
SmitJT00,J.T. Smith,WR,1980,1st Tm,,KR,Associated Press
SmitJT00,J.T. Smith,WR,1980,1st Tm,,PR,Pro Football Writers
SmitJT00,J.T. Smith,WR,1980,1st Tm,,PR,Pro Football Weekly
SmitJT00,J.T. Smith,WR,1980,1st Tm,,PR,Sporting News
SmitJT00,J.T. Smith,WR,1981,1st Tm,All-Conf.,,Pro Football Weekly
SmitJT00,J.T. Smith,WR,1987,1st Tm,All-Conf.,,Pro Football Weekly
SmitJT00,J.T. Smith,WR,1987,1st Tm,All-Conf.,,UPI
SmitJT00,J.T. Smith,WR,1987,2nd Tm,,WR,Associated Press
SmitJT00,J.T. Smith,WR,1987,1st Tm,,,Pro Football Weekly
SmitJT00,J.T. Smith,WR,1987,1st Tm,,,Sporting News
