player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
WarnKu00,Kurt Warner,QB,1999,28,STL,NFL,QB,16,16,23,92,1,10,34.8,22,4.0,5.8,1.4,0,0,0,,0,0,,0.0,0.0,,,23,4.0,92,1,9,"PB,AP-1,AP MVP-1,AP OPoY-2"
WarnKu00,Kurt Warner,QB,2000,29,STL,NFL,QB,11,11,18,17,0,3,22.2,11,0.9,1.5,1.6,0,0,0,,0,0,,0.0,0.0,,,18,0.9,17,0,4,PB
WarnKu00,Kurt Warner,QB,2001,30,STL,NFL,QB,16,16,28,60,0,3,21.4,23,2.1,3.8,1.8,0,0,0,,0,0,,0.0,0.0,,,28,2.1,60,0,10,"PB,AP-1,AP MVP-1,AP OPoY-2"
WarnKu00,Kurt Warner,QB,2002,31,STL,NFL,QB,7,6,8,33,0,2,50.0,9,4.1,4.7,1.1,0,0,0,,0,0,,0.0,0.0,,,8,4.1,33,0,8,
WarnKu00,Kurt Warner,QB,2003,32,STL,NFL,QB,2,1,1,0,0,0,0.0,,0.0,0.0,0.5,0,0,0,,0,0,,0.0,0.0,,,1,0.0,0,0,6,
WarnKu00,Kurt Warner,QB,2004,33,NYG,NFL,QB,10,9,13,30,1,5,38.5,13,2.3,3.0,1.3,0,0,0,,0,0,,0.0,0.0,,,13,2.3,30,1,12,
WarnKu00,Kurt Warner,QB,2005,34,ARI,NFL,QB,10,10,13,28,0,3,38.5,13,2.2,2.8,1.3,1,1,0,0.0,0,0,0.0,0.1,0.0,100.0,0.0,14,2.0,28,0,9,
WarnKu00,Kurt Warner,QB,2006,35,ARI,NFL,QB,6,5,13,3,0,3,23.1,9,0.2,0.5,2.2,0,0,0,,0,0,,0.0,0.0,,,13,0.2,3,0,10,
WarnKu00,Kurt Warner,QB,2007,36,ARI,NFL,QB,14,11,17,15,1,1,11.8,9,0.9,1.1,1.2,0,0,0,,0,0,,0.0,0.0,,,17,0.9,15,1,12,
WarnKu00,Kurt Warner,QB,2008,37,ARI,NFL,QB,16,16,18,-2,0,1,5.6,11,-0.1,-0.1,1.1,0,0,0,,0,0,,0.0,0.0,,,18,-0.1,-2,0,11,"PB,AP MVP-7,AP CPoY-4"
WarnKu00,Kurt Warner,QB,2009,38,ARI,NFL,QB,15,15,21,10,0,1,9.5,10,0.5,0.7,1.4,0,0,0,,0,0,,0.0,0.0,,,21,0.5,10,0,11,
