player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds,awards
WalkHe00,Herschel Walker,RB,1989,27,2TM,NFL,RB,16,14,0,0,0,0,13,374,1,93,28.8,1712,
WalkHe00,Herschel Walker,RB,1989,27,MIN,NFL,RB,11,9,0,0,0,0,13,374,1,93,28.8,1205,
WalkHe00,Herschel Walker,RB,1990,28,MIN,NFL,RB,16,16,0,0,0,0,44,966,0,64,22.0,2051,
WalkHe00,Herschel Walker,RB,1991,29,MIN,NFL,RB,15,15,0,0,0,0,5,83,0,21,16.6,1112,
WalkHe00,Herschel Walker,RB,1992,30,PHI,NFL,RB,16,16,0,0,0,0,3,69,0,34,23.0,1417,
WalkHe00,Herschel Walker,RB,1993,31,PHI,NFL,RB,16,16,0,0,0,0,11,184,0,30,16.7,1540,
WalkHe00,Herschel Walker,RB,1994,32,PHI,NFL,RB,16,14,0,0,0,0,21,581,1,94,27.7,1609,
WalkHe00,Herschel Walker,RB,1995,33,NYG,NFL,RB,16,3,0,0,0,0,41,881,0,67,21.5,1241,
WalkHe00,Herschel Walker,RB,1996,34,DAL,NFL,RB,16,1,0,0,0,0,27,779,0,89,28.9,951,
WalkHe00,Herschel Walker,RB,1997,35,DAL,NFL,FB,16,6,0,0,0,0,50,1167,0,49,23.3,1336,
