player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,safety_md,awards
MariDa00,Dan Marino,QB,1984,23,MIA,NFL,QB,3,3,0,0,0,0,0,0,1,1,-8,0,0.0,0,0,
MariDa00,Dan Marino,QB,1985,24,MIA,NFL,QB,2,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1990,29,MIA,NFL,QB,2,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1992,31,MIA,NFL,QB,2,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1994,33,MIA,NFL,QB,2,2,0,0,0,0,0,0,1,1,0,0,0.0,0,0,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1997,36,MIA,NFL,QB,1,1,0,0,0,0,0,0,2,1,0,0,0.0,0,0,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1999,38,MIA,NFL,QB,2,2,0,0,0,0,0,0,2,0,0,0,0.0,0,0,
