player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,safety_md,awards
ElwaJo00,John Elway,QB,1984,24,DEN,NFL,QB,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,
ElwaJo00,John Elway,QB,,,,,,,,,,,,,,,,,,,,,
ElwaJo00,John Elway,QB,1986,26,DEN,NFL,QB,3,3,0,0,0,0,0,0,1,1,-11,0,0.0,0,0,
ElwaJo00,John Elway,QB,1987,27,DEN,NFL,QB,3,3,0,0,0,0,0,0,1,1,-2,0,0.0,0,0,
ElwaJo00,John Elway,QB,,,,,,,,,,,,,,,,,,,,,
ElwaJo00,John Elway,QB,1991,31,DEN,NFL,QB,2,2,0,0,0,0,0,0,2,2,-5,0,0.0,0,0,
ElwaJo00,John Elway,QB,,,,,,,,,,,,,,,,,,,,,
ElwaJo00,John Elway,QB,1993,33,DEN,NFL,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,
ElwaJo00,John Elway,QB,,,,,,,,,,,,,,,,,,,,,
ElwaJo00,John Elway,QB,1997,37,DEN,NFL,QB,4,4,0,0,0,0,0,0,4,1,-10,0,0.0,0,0,
ElwaJo00,John Elway,QB,1998,38,DEN,NFL,QB,3,3,0,0,0,0,0,0,1,0,-6,0,0.0,0,0,SB MVP
