player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_yac,rec_broken_tackles,rec_drops,rec_target_int,awards
RushCo00,Cooper Rush,QB,2021,28,DAL,NFL,QB,5,1,9,-8,0,-8,-0.9,0,0.0,0,0,0,0,0,0,0,0,0,0,
RushCo00,Cooper Rush,QB,2022,29,DAL,NFL,QB,9,5,9,6,1,6,0.7,0,0.0,0,0,0,0,0,0,0,0,0,0,
RushCo00,Cooper Rush,QB,2023,30,DAL,NFL,QB,7,0,12,-5,1,-8,-0.7,3,0.3,0,0,0,0,0,0,0,0,0,0,
RushCo00,Cooper Rush,QB,2024,31,DAL,NFL,QB,12,8,26,18,5,7,0.3,11,0.4,0,0,0,0,0,0,0,0,0,0,
RushCo00,Cooper Rush,QB,2025,32,BAL,NFL,QB,4,2,4,-4,0,-4,-1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,
