player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
SancMa00,Mark Sanchez,QB,2009,23,NYJ,NFL,QB,15,15,8-7-0,196,364,53.8,2444,12,3.3,20,5.5,122,39.5,65,6.7,4.90,12.5,162.9,63.0,32.8,26,195,6.67,5.77,4.07,0,0,6,
SancMa00,Mark Sanchez,QB,2010,24,NYJ,NFL,QB,16,16,11-5-0,278,507,54.8,3291,17,3.4,13,2.6,162,41.4,74,6.5,6.01,11.8,205.7,75.3,51.3,27,171,5.06,5.84,5.38,3,5,9,
SancMa00,Mark Sanchez,QB,2011,25,NYJ,NFL,QB,16,16,8-8-0,308,543,56.7,3474,26,4.8,18,3.3,172,40.2,74,6.4,5.86,11.3,217.1,78.2,42.1,39,243,6.70,5.55,5.05,4,4,8,
SancMa00,Mark Sanchez,QB,2012,26,NYJ,NFL,QB,15,15,6-9-0,246,453,54.3,2883,13,2.9,18,4.0,146,40.9,66,6.4,5.15,11.7,192.2,66.9,27.1,34,209,6.98,5.49,4.36,1,1,5,
SancMa00,Mark Sanchez,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SancMa00,Mark Sanchez,QB,2014,28,PHI,NFL,QB,9,8,4-4-0,198,309,64.1,2418,14,4.5,11,3.6,119,50.6,72,7.8,7.13,12.2,268.7,88.4,55.3,23,151,6.93,6.83,6.18,0,0,6,
SancMa00,Mark Sanchez,QB,2015,29,PHI,NFL,QB,4,2,0-2-0,59,91,64.8,616,4,4.4,4,4.4,30,45.0,43,6.8,5.67,10.4,154.0,80.7,28.1,9,54,9.00,5.62,4.62,0,0,1,
SancMa00,Mark Sanchez,QB,2016,30,DAL,NFL,QB,2,0,,10,18,55.6,93,0,0.0,2,11.1,5,28.6,33,5.2,0.17,9.3,46.5,30.3,4.2,3,25,14.29,3.24,-1.05,0,0,0,
SancMa00,Mark Sanchez,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SancMa00,Mark Sanchez,QB,2018,32,WAS,NFL,QB,2,1,0-1-0,19,35,54.3,138,0,0.0,3,8.6,3,21.4,20,3.9,0.09,7.3,69.0,28.0,4.5,7,42,16.67,2.29,-0.93,0,0,0,
