player_id,player_name,position,year_id,age,team,pos,uniform_number,g,gs,offense,off_pct,defense,def_pct,special_teams,st_pct,reason
BlacJu00,Justin Blackmon,WR,2012,22,JAX,WR,14,16,14,965,91%,0,0%,2,0%,
BlacJu00,Justin Blackmon,WR,2013,23,JAX,WR,14,4,4,248,93%,0,0%,0,0%,
BlacJu00,Justin Blackmon,WR,2014,,,,,,,,,,,,,Missed season - Violation of league substance abuse policy
