player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
ClayMa00,Mark Clayton,WR,1983,22,MIA,NFL,WR,1,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,0.0,0,,0,0,0,
ClayMa00,Mark Clayton,WR,1984,23,MIA,NFL,WR,3,3,29,15,262,17.5,2,12,48.3,40,5.0,87.3,51.7,9.0,0,0,0,0,,,0.0,0.0,15,17.5,262,2,0,
ClayMa00,Mark Clayton,WR,1985,24,MIA,NFL,WR,2,2,17,4,56,14.0,0,4,23.5,16,2.0,28.0,23.5,3.3,0,0,0,0,,,0.0,0.0,4,14.0,56,0,0,
ClayMa00,Mark Clayton,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClayMa00,Mark Clayton,WR,1990,29,MIA,NFL,WR,2,2,20,9,148,16.4,1,8,45.0,29,4.5,74.0,45.0,7.4,0,0,0,0,,,0.0,0.0,9,16.4,148,1,0,
ClayMa00,Mark Clayton,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClayMa00,Mark Clayton,WR,1992,31,MIA,NFL,WR,2,2,7,3,32,10.7,0,3,42.9,16,1.5,16.0,42.9,4.6,1,0,0,0,0.0,0.0,0.0,0.5,4,8.0,32,0,1,
ClayMa00,Mark Clayton,WR,1993,32,GNB,NFL,WR,2,2,3,1,9,9.0,0,0,33.3,9,0.5,4.5,33.3,3.0,0,0,0,0,,,0.0,0.0,1,9.0,9,0,0,
