player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,awards
GodwCh00,Chris Godwin,WR,2018,22,TAM,NFL,WR,16,5,95,59,842,48,597,10.1,245,4.2,11.7,2,29.5,3,3.2,2,106.6,0,0,0,0,,0,,0,,
GodwCh00,Chris Godwin,WR,2019,23,TAM,NFL,WR,14,14,121,86,1333,63,756,8.8,577,6.7,10.4,8,10.8,1,0.8,5,114.8,1,8,0,0,0.0,8,8.0,1,1.0,"PB,AP-2"
GodwCh00,Chris Godwin,WR,2020,24,TAM,NFL,WR,12,12,84,65,840,43,560,8.6,280,4.3,10.2,2,32.5,3,3.6,1,131.1,0,0,0,0,,0,,0,,
GodwCh00,Chris Godwin,WR,2021,25,TAM,NFL,WR,14,14,127,98,1103,55,517,5.3,586,6.0,7.3,5,19.6,5,3.9,2,109.1,4,21,4,13,3.3,8,2.0,0,,
GodwCh00,Chris Godwin,WR,2022,26,TAM,NFL,WR,15,13,142,104,1023,53,496,4.8,527,5.1,5.7,4,26.0,3,2.1,1,97.2,3,5,0,4,1.3,1,0.3,0,,AP CPoY-7
GodwCh00,Chris Godwin,WR,2023,27,TAM,NFL,WR,17,17,130,83,1024,53,639,7.7,385,4.6,9.0,2,41.5,5,3.8,3,83.6,4,38,3,20,5.0,18,4.5,1,4.0,
GodwCh00,Chris Godwin,WR,2024,28,TAM,NFL,WR,7,7,62,50,576,33,226,4.5,350,7.0,5.7,4,12.5,2,3.2,1,125.5,1,2,1,1,1.0,1,1.0,0,,
GodwCh00,Chris Godwin,WR,2025,29,TAM,NFL,WR,2,2,14,6,52,3,30,5.0,22,3.7,10.8,0,,0,0.0,1,23.5,0,0,0,0,,0,,0,,
