player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,safety_md,awards
RiceJe00,Jerry Rice,WR,1985,23,SFO,NFL,WR,16,4,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,,0,
RiceJe00,Jerry Rice,WR,1986,24,SFO,NFL,WR,16,15,0,0,0,0,,0,2,3,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-6,AP OPoY-3"
RiceJe00,Jerry Rice,WR,1987,25,SFO,NFL,WR,12,12,0,0,0,0,,0,2,1,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-2,AP OPoY-1"
RiceJe00,Jerry Rice,WR,1988,26,SFO,NFL,WR,16,16,0,0,0,0,,0,2,1,0,0,0.0,0,0,0,,0,"PB,AP-1"
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1990,28,SFO,NFL,WR,16,16,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-7,AP OPoY-5"
RiceJe00,Jerry Rice,WR,1991,29,SFO,NFL,WR,16,16,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,,0,PB
RiceJe00,Jerry Rice,WR,1992,30,SFO,NFL,WR,16,16,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,,0,"PB,AP-1"
RiceJe00,Jerry Rice,WR,1993,31,SFO,NFL,WR,16,16,0,0,0,0,,0,3,1,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-3,AP OPoY-1"
RiceJe00,Jerry Rice,WR,1994,32,SFO,NFL,WR,16,16,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-3,AP OPoY-3"
RiceJe00,Jerry Rice,WR,1995,33,SFO,NFL,WR,16,16,0,0,0,0,,0,3,1,0,1,0.0,0,0,0,,0,"PB,AP-1,AP MVP-2,AP OPoY-3"
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1998,36,SFO,NFL,WR,16,16,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,,0,"PB,AP CPoY-4"
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,2000,38,SFO,NFL,WR,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,
RiceJe00,Jerry Rice,WR,2001,39,OAK,NFL,WR,16,15,0,0,0,0,0,0,1,1,0,0,0.0,,,,,0,
RiceJe00,Jerry Rice,WR,2002,40,OAK,NFL,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,"PB,AP-2"
RiceJe00,Jerry Rice,WR,2003,41,OAK,NFL,WR,16,15,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,
