player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
RiceJe00,Jerry Rice,WR,1986,24,SFO,NFL,WR,16,15,1,2,50.0,16,0,0.0,0,0.0,1,50.0,16,8.0,8.00,16.0,1.0,77.1,0,0,0.00,8.00,8.00,0,0,"PB,AP-1,AP MVP-6,AP OPoY-3"
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1988,26,SFO,NFL,WR,16,16,1,3,33.3,14,0,0.0,1,33.3,1,33.3,14,4.7,-10.33,14.0,0.9,9.7,0,0,0.00,4.67,-10.33,0,0,"PB,AP-1"
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1995,33,SFO,NFL,WR,16,16,1,1,100.0,41,1,100.0,0,0.0,1,100.0,41,41.0,61.00,41.0,2.6,158.3,0,0,0.00,41.00,61.00,0,0,"PB,AP-1,AP MVP-2,AP OPoY-3"
RiceJe00,Jerry Rice,WR,1996,34,SFO,NFL,WR,16,16,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-1,AP OPoY-5"
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1999,37,SFO,NFL,WR,16,16,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
RiceJe00,Jerry Rice,WR,2000,38,SFO,NFL,WR,16,16,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,2003,41,OAK,NFL,WR,16,15,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
