player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,awards
AkerCa00,Cam Akers,RB,2020,21,LAR,NFL,RB,13,5,145,625,26,321,2.2,304,2.1,6,24.2,14,11,123,4,32,2.9,91,8.3,4.2,3,3.7,1,7.1,0,127.1,
AkerCa00,Cam Akers,RB,2021,22,LAR,NFL,RB,1,0,5,3,0,-2,-0.4,5,1.0,0,,3,3,10,0,6,2.0,4,1.3,2.0,0,,0,0.0,0,80.6,
AkerCa00,Cam Akers,RB,2022,23,LAR,NFL,RB,15,9,188,786,39,379,2.0,407,2.2,13,14.5,18,13,117,8,-19,-1.5,136,10.5,1.9,4,3.3,0,0.0,0,89.4,
AkerCa00,Cam Akers,RB,2023,24,2TM,NFL,RB,7,1,60,167,12,78,1.3,89,1.5,6,10.0,12,11,70,2,-8,-0.7,78,7.1,-1.1,2,5.5,0,0.0,0,91.0,
AkerCa00,Cam Akers,RB,2023,24,LAR,NFL,RB,1,1,22,29,4,1,0.0,28,1.3,4,5.5,0,0,0,0,0,,0,,,0,,0,,0,,
AkerCa00,Cam Akers,RB,2023,24,MIN,NFL,RB,6,0,38,138,8,77,2.0,61,1.6,2,19.0,12,11,70,2,-8,-0.7,78,7.1,-1.1,2,5.5,0,0.0,0,91.0,
AkerCa00,Cam Akers,RB,2024,25,2TM,NFL,RB,17,2,104,444,21,226,2.2,218,2.1,7,14.9,18,14,68,4,-15,-1.1,83,5.9,-1.5,0,,0,0.0,0,122.0,AP CPoY-19
AkerCa00,Cam Akers,RB,2024,25,HOU,NFL,RB,5,2,40,147,5,84,2.1,63,1.6,2,20.0,7,4,16,1,5,1.3,11,2.8,-0.6,0,,0,0.0,0,101.8,
AkerCa00,Cam Akers,RB,2024,25,MIN,NFL,RB,12,0,64,297,16,142,2.2,155,2.4,5,12.8,11,10,52,3,-20,-2.0,72,7.2,-2.1,0,,0,0.0,0,125.9,
AkerCa00,Cam Akers,RB,2025,26,MIN,NFL,RB,3,0,5,19,1,12,2.4,7,1.4,0,,1,0,0,0,0,,0,,-6.0,0,,1,100.0,0,39.6,
