player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
CookBr00,Brandin Cooks,WR,2017,24,NWE,NFL,WR,3,3,19,10,155,15.5,0,9,52.6,31,3.3,51.7,52.6,8.2,1,1,0,0,0.0,1,1.0,0.3,0.3,11,14.2,156,0,0,
CookBr00,Brandin Cooks,WR,2018,25,LAR,NFL,WR,3,3,27,19,292,15.4,0,14,63.0,36,6.3,97.3,70.4,10.8,1,5,0,1,100.0,5,5.0,1.7,0.3,20,14.9,297,0,0,
CookBr00,Brandin Cooks,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookBr00,Brandin Cooks,WR,2023,30,DAL,NFL,WR,1,1,8,6,47,7.8,0,4,75.0,18,6.0,47.0,75.0,5.9,1,6,0,0,100.0,6,6.0,6.0,1.0,7,7.6,53,0,0,
