player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
HillDr00,Drew Hill,WR,1979,23,RAM,NFL,WR,3,0,4,1,28,28.0,0,1,25.0,28,0.3,9.3,25.0,7.0,0,0,0,0,0.0,0.0,1,28.0,28,0,0,
HillDr00,Drew Hill,WR,1980,24,RAM,NFL,WR,1,0,,0,0,,0,0,,,0.0,0.0,,,0,0,0,0,0.0,0.0,0,,0,0,0,
HillDr00,Drew Hill,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HillDr00,Drew Hill,WR,1984,28,RAM,NFL,WR,1,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,,0,0,0,
HillDr00,Drew Hill,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HillDr00,Drew Hill,WR,1987,31,HOU,NFL,WR,2,2,18,11,177,16.1,0,10,55.6,24,5.5,88.5,61.1,9.8,0,0,0,0,0.0,0.0,11,16.1,177,0,0,
HillDr00,Drew Hill,WR,1988,32,HOU,NFL,WR,2,2,14,9,135,15.0,0,8,57.1,22,4.5,67.5,64.3,9.6,0,0,0,0,0.0,0.0,9,15.0,135,0,0,
HillDr00,Drew Hill,WR,1989,33,HOU,NFL,WR,1,1,9,6,98,16.3,0,5,66.7,32,6.0,98.0,66.7,10.9,0,0,0,0,0.0,0.0,6,16.3,98,0,0,
HillDr00,Drew Hill,WR,1990,34,HOU,NFL,WR,1,1,2,1,5,5.0,0,0,0.0,5,1.0,5.0,50.0,2.5,0,0,0,0,0.0,0.0,1,5.0,5,0,0,
HillDr00,Drew Hill,WR,1991,35,HOU,NFL,WR,2,2,12,11,98,8.9,1,7,83.3,20,5.5,49.0,91.7,8.2,0,0,0,0,0.0,0.0,11,8.9,98,1,0,
