player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_cmp,pass_att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,awards
FlacJo00,Joe Flacco,QB,2018,33,BAL,NFL,QB,9,9,232,379,3237,8.5,1450,6.3,3.8,1015,4.4,0,9,3,22,6.0,65,17.7,,,2.3,116,47,22,85,21.3,4,7.0,,,,,,,,,
FlacJo00,Joe Flacco,QB,2019,34,DEN,NFL,QB,8,8,171,262,1750,6.7,915,5.4,3.5,907,5.3,9,12,1,15,6.0,40,16.1,194,77.9,2.4,76,41,14,81,27.6,5,4.2,4,16,4,16,0,0,38,287,
FlacJo00,Joe Flacco,QB,2020,35,NYJ,NFL,QB,5,4,74,134,1422,10.6,519,7.0,3.9,345,4.7,1,10,0,5,4.0,29,23.4,88,71.0,2.3,56,16,20,43,29.5,5,4.4,4,9,4,9,0,0,28,213,
FlacJo00,Joe Flacco,QB,2021,36,NYJ,NFL,QB,2,1,27,42,330,7.9,163,6.0,3.9,175,6.5,1,4,0,1,2.6,6,15.8,29,76.3,2.1,24,4,6,12,26.7,1,1.0,1,5,1,5,0,0,7,81,
FlacJo00,Joe Flacco,QB,2022,37,NYJ,NFL,QB,5,4,110,191,1491,7.8,587,5.3,3.1,464,4.2,5,6,0,13,7.0,38,20.5,127,68.6,2.4,55,16,26,52,25.7,1,7.0,8,47,7,47,0,0,33,244,
FlacJo00,Joe Flacco,QB,2023,38,CLE,NFL,QB,5,5,123,204,1900,9.3,938,7.6,4.6,678,5.5,3,7,0,9,4.6,35,17.8,138,70.1,2.6,46,19,14,41,19.3,0,,9,177,9,177,0,0,63,704,AP CPoY-1
FlacJo00,Joe Flacco,QB,2024,39,IND,NFL,QB,8,6,162,248,2183,8.8,1110,6.9,4.5,651,4.0,5,6,0,11,4.5,42,17.4,178,73.6,2.3,61,13,18,49,18.2,3,8.7,51,494,46,494,0,0,64,530,
FlacJo00,Joe Flacco,QB,2025,40,2TM,NFL,QB,8,8,205,333,2411,7.2,1071,5.2,3.2,998,4.9,5,22,3,16,5.2,47,15.3,233,75.6,2.3,71,23,34,73,20.7,3,8.3,38,210,35,198,1,12,37,263,
FlacJo00,Joe Flacco,QB,2025,40,CLE,NFL,QB,4,4,93,160,1162,7.3,413,4.4,2.6,402,4.3,2,12,1,8,5.4,26,17.7,106,72.1,2.4,37,12,24,45,26.3,2,6.0,13,94,11,94,0,0,27,126,
FlacJo00,Joe Flacco,QB,2025,40,CIN,NFL,QB,4,4,112,173,1249,7.2,658,5.9,3.8,596,5.3,3,10,2,8,5.0,21,13.0,127,78.9,2.1,34,11,10,28,15.5,1,13.0,25,116,24,104,1,12,10,137,
