player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_yac,rec_broken_tackles,rec_drops,rec_target_int,awards
FlacJo00,Joe Flacco,QB,2018,33,BAL,NFL,QB,9,9,19,45,10,36,1.9,9,0.5,0,0,0,0,0,0,0,0,0,0,
FlacJo00,Joe Flacco,QB,2019,34,DEN,NFL,QB,8,8,12,20,4,16,1.3,4,0.3,0,0,0,0,0,0,0,0,0,0,
FlacJo00,Joe Flacco,QB,2020,35,NYJ,NFL,QB,5,4,6,22,3,21,3.5,1,0.2,0,0,0,0,0,0,0,0,0,0,
FlacJo00,Joe Flacco,QB,2021,36,NYJ,NFL,QB,2,1,2,3,1,1,0.5,2,1.0,0,0,0,0,0,0,0,0,0,0,
FlacJo00,Joe Flacco,QB,2022,37,NYJ,NFL,QB,5,4,3,6,1,6,2.0,0,0.0,0,0,0,-3,0,-3,0,0,0,0,
FlacJo00,Joe Flacco,QB,2023,38,CLE,NFL,QB,5,5,9,2,3,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,AP CPoY-1
FlacJo00,Joe Flacco,QB,2024,39,IND,NFL,QB,8,6,9,26,2,24,2.7,2,0.2,0,0,0,0,0,0,0,0,0,0,
FlacJo00,Joe Flacco,QB,2025,40,2TM,NFL,QB,8,8,14,29,6,25,1.8,4,0.3,0,0,0,0,0,0,0,0,0,0,
FlacJo00,Joe Flacco,QB,2025,40,CLE,NFL,QB,4,4,6,13,2,13,2.2,0,0.0,0,0,0,0,0,0,0,0,0,0,
FlacJo00,Joe Flacco,QB,2025,40,CIN,NFL,QB,4,4,8,16,4,12,1.5,4,0.5,0,0,0,0,0,0,0,0,0,0,
