player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,awards
ChanWe00,Wes Chandler,WR,1978,22,NOR,NFL,WR,16,5,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,
ChanWe00,Wes Chandler,WR,,,,,,,,,,,,,,,,,,,,,,
ChanWe00,Wes Chandler,WR,1980,24,NOR,NFL,WR,16,16,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,
ChanWe00,Wes Chandler,WR,1981,25,2TM,NFL,WR,16,15,0,0,0,0,0,1,1,51,0,0.0,0,0,0,0,
ChanWe00,Wes Chandler,WR,1981,25,NOR,NFL,WR,4,4,0,0,0,0,0,0,1,51,0,0.0,0,0,0,0,
ChanWe00,Wes Chandler,WR,1981,25,SDG,NFL,WR,12,11,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,
ChanWe00,Wes Chandler,WR,,,,,,,,,,,,,,,,,,,,,,
ChanWe00,Wes Chandler,WR,1983,27,SDG,NFL,WR,16,14,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,PB
ChanWe00,Wes Chandler,WR,,,,,,,,,,,,,,,,,,,,,,
ChanWe00,Wes Chandler,WR,1985,29,SDG,NFL,WR,15,13,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,PB
ChanWe00,Wes Chandler,WR,1986,30,SDG,NFL,WR,16,14,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,
ChanWe00,Wes Chandler,WR,1987,31,SDG,NFL,WR,12,11,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,
