player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds,awards
MostRa00,Raheem Mostert,RB,2015,23,3TM,NFL,RB,11,0,0,0,0,0,19,530,0,53,27.9,530,
MostRa00,Raheem Mostert,RB,2015,23,MIA,NFL,RB,1,0,0,0,0,0,2,57,0,32,28.5,57,
MostRa00,Raheem Mostert,RB,2015,23,BAL,NFL,RB,7,0,0,0,0,0,5,164,0,50,32.8,164,
MostRa00,Raheem Mostert,RB,2015,23,CLE,NFL,RB,3,0,0,0,0,0,12,309,0,53,25.8,309,
MostRa00,Raheem Mostert,RB,2016,24,2TM,NFL,RB,3,0,0,33,0,33,2,35,0,26,17.5,74,
MostRa00,Raheem Mostert,RB,2016,24,SFO,NFL,RB,1,0,0,33,0,33,2,35,0,26,17.5,74,
MostRa00,Raheem Mostert,RB,2017,25,SFO,NFL,RB,11,0,0,0,0,0,5,83,0,21,16.6,113,
MostRa00,Raheem Mostert,RB,,,,,,,,,,,,,,,,,,
MostRa00,Raheem Mostert,RB,2019,27,SFO,NFL,RB,16,0,0,0,0,0,0,-19,0,-19,,933,
MostRa00,Raheem Mostert,RB,,,,,,,,,,,,,,,,,,
MostRa00,Raheem Mostert,RB,2022,30,MIA,NFL,RB,16,14,0,0,0,0,25,502,0,31,20.1,1595,
MostRa00,Raheem Mostert,RB,,,,,,,,,,,,,,,,,,
MostRa00,Raheem Mostert,RB,2024,32,MIA,NFL,RB,13,1,0,0,0,0,2,42,0,23,21.0,481,
MostRa00,Raheem Mostert,RB,2025,33,LVR,NFL,RB,6,0,0,0,0,0,13,421,0,54,32.4,543,
