player_id,player_name,position,year,team,level,pos,voters
MossRa00,Randy Moss,WR,1998,1st Tm,All-Conf.,,Pro Football Writers
MossRa00,Randy Moss,WR,1998,1st Tm,,WR,Associated Press
MossRa00,Randy Moss,WR,1998,1st Tm,,,Pro Football Writers
MossRa00,Randy Moss,WR,1998,1st Tm,,,Sporting News
MossRa00,Randy Moss,WR,2000,1st Tm,All-Conf.,,Pro Football Writers
MossRa00,Randy Moss,WR,2000,1st Tm,,WR,Associated Press
MossRa00,Randy Moss,WR,2000,1st Tm,,,Pro Football Writers
MossRa00,Randy Moss,WR,2000,1st Tm,,,Sporting News
MossRa00,Randy Moss,WR,2002,1st Tm,All-Conf.,,Pro Football Writers
MossRa00,Randy Moss,WR,2003,1st Tm,All-Conf.,,Pro Football Writers
MossRa00,Randy Moss,WR,2003,1st Tm,,WR,Associated Press
MossRa00,Randy Moss,WR,2003,1st Tm,,,Pro Football Writers
MossRa00,Randy Moss,WR,2007,1st Tm,All-Conf.,WR,Pro Football Writers
MossRa00,Randy Moss,WR,2007,1st Tm,,WR,Associated Press
MossRa00,Randy Moss,WR,2007,1st Tm,,,Pro Football Writers
MossRa00,Randy Moss,WR,2007,1st Tm,,,Sporting News
