player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,awards
ByarKe00,Keith Byars,RB,1986,23,PHI,NFL,RB,16,8,0,0,0,0,0,3,2,0,0,0.0,0,0,0,0,
ByarKe00,Keith Byars,RB,1987,24,PHI,NFL,RB,10,8,0,0,0,0,0,3,2,0,0,0.0,0,0,0,0,
ByarKe00,Keith Byars,RB,1988,25,PHI,NFL,RB,16,16,0,0,0,0,0,5,2,14,0,0.0,0,0,0,0,
ByarKe00,Keith Byars,RB,1989,26,PHI,NFL,RB,16,15,0,0,0,0,0,4,4,6,0,0.0,0,0,0,0,
ByarKe00,Keith Byars,RB,1990,27,PHI,NFL,RB,16,15,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,
ByarKe00,Keith Byars,RB,1991,28,PHI,NFL,FB,16,16,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,
ByarKe00,Keith Byars,RB,1992,29,PHI,NFL,TE/FB,15,15,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,
ByarKe00,Keith Byars,RB,1993,30,MIA,NFL,FB,16,16,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,PB
ByarKe00,Keith Byars,RB,,,,,,,,,,,,,,,,,,,,,,
ByarKe00,Keith Byars,RB,1997,34,NWE,NFL,FB,16,8,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,
