player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
ChanBo00,Bob Chandler,WR,1971,22,BUF,NFL,WR,13,0,,5,60,12.0,0,,,20,0.4,4.6,,,0,0,0,,,,0.0,0.0,5,12.0,60,0,0,0,
ChanBo00,Bob Chandler,WR,1972,23,BUF,NFL,WR,14,14,,33,528,16.0,5,,,43,2.4,37.7,,,3,27,0,,16,9.0,1.9,0.2,36,15.4,555,5,1,6,
ChanBo00,Bob Chandler,WR,1973,24,BUF,NFL,WR,14,14,,30,427,14.2,3,,,37,2.1,30.5,,,5,-14,0,,18,-2.8,-1.0,0.4,35,11.8,413,3,2,7,
ChanBo00,Bob Chandler,WR,1974,25,BUF,NFL,WR,14,0,,7,88,12.6,1,,,21,0.5,6.3,,,0,0,0,,,,0.0,0.0,7,12.6,88,1,0,1,
ChanBo00,Bob Chandler,WR,1975,26,BUF,NFL,WR,14,13,,55,746,13.6,6,,,35,3.9,53.3,,,2,5,0,,5,2.5,0.4,0.1,57,13.2,751,6,0,12,
ChanBo00,Bob Chandler,WR,1976,27,BUF,NFL,WR,14,14,,61,824,13.5,10,,,58,4.4,58.9,,,1,0,0,,,0.0,0.0,0.1,62,13.3,824,10,3,9,
ChanBo00,Bob Chandler,WR,1977,28,BUF,NFL,WR,14,14,,60,745,12.4,4,,,31,4.3,53.2,,,0,0,0,,,,0.0,0.0,60,12.4,745,4,0,5,
ChanBo00,Bob Chandler,WR,1978,29,BUF,NFL,WR,16,13,85,44,581,13.2,5,30,49.4,44,2.8,36.3,51.8,6.8,0,0,0,0,,,0.0,0.0,44,13.2,581,5,1,7,
ChanBo00,Bob Chandler,WR,1979,30,BUF,NFL,WR,3,0,4,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,0.0,0,,0,0,0,0,
ChanBo00,Bob Chandler,WR,1980,31,OAK,NFL,WR,16,16,101,49,786,16.0,10,41,47.5,56,3.1,49.1,48.5,7.8,0,0,0,0,,,0.0,0.0,49,16.0,786,10,1,8,
ChanBo00,Bob Chandler,WR,1981,32,OAK,NFL,WR,11,7,63,26,458,17.6,4,22,39.7,45,2.4,41.6,41.3,7.3,0,0,0,0,,,0.0,0.0,26,17.6,458,4,2,3,
ChanBo00,Bob Chandler,WR,1982,33,RAI,NFL,WR,2,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,0.0,0,,0,0,0,0,
