player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,awards
ChanBo00,Bob Chandler,WR,1972,23,BUF,NFL,WR,14,14,0,5,0,0,0,0,0,5,0,0,0,0,0,30,2.1,
ChanBo00,Bob Chandler,WR,1973,24,BUF,NFL,WR,14,14,0,3,0,0,0,0,0,3,1,1,0,0,0,19,1.4,
ChanBo00,Bob Chandler,WR,1974,25,BUF,NFL,WR,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0.4,
ChanBo00,Bob Chandler,WR,1975,26,BUF,NFL,WR,14,13,0,6,0,0,0,0,0,6,0,0,0,0,0,36,2.6,
ChanBo00,Bob Chandler,WR,1976,27,BUF,NFL,WR,14,14,0,10,0,0,0,0,0,10,0,0,0,0,0,60,4.3,
ChanBo00,Bob Chandler,WR,1977,28,BUF,NFL,WR,14,14,0,4,0,0,0,0,0,4,0,0,0,0,0,24,1.7,
ChanBo00,Bob Chandler,WR,1978,29,BUF,NFL,WR,16,13,0,5,0,0,0,0,0,5,0,0,0,0,0,30,1.9,
ChanBo00,Bob Chandler,WR,,,,,,,,,,,,,,,,,,,,,,,
ChanBo00,Bob Chandler,WR,1980,31,OAK,NFL,WR,16,16,0,10,0,0,0,0,0,10,0,0,0,0,0,60,3.8,
ChanBo00,Bob Chandler,WR,1981,32,OAK,NFL,WR,11,7,0,4,0,0,0,0,0,4,0,0,0,0,0,24,2.2,
