player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
RivePh00,Philip Rivers,QB,2004,23,SDG,NFL,QB,2,0,4,-5,0,0,0.0,-1,-1.3,-2.5,2.0,0,0,0,0,0,,,0.0,0.0,,,4,-1.3,-5,0,1,
RivePh00,Philip Rivers,QB,2005,24,SDG,NFL,QB,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0.5,0,0,0,0,0,,,0.0,0.0,,,1,-1.0,-1,0,2,
RivePh00,Philip Rivers,QB,2006,25,SDG,NFL,QB,16,16,48,49,0,8,25.0,15,1.0,3.1,3.0,0,0,0,0,0,,,0.0,0.0,,,48,1.0,49,0,8,PB
RivePh00,Philip Rivers,QB,2007,26,SDG,NFL,QB,16,16,29,33,1,9,37.9,10,1.1,2.1,1.8,0,0,0,0,0,,,0.0,0.0,,,29,1.1,33,1,11,
RivePh00,Philip Rivers,QB,2008,27,SDG,NFL,QB,16,16,31,84,0,12,58.1,11,2.7,5.3,1.9,0,0,0,0,0,,,0.0,0.0,,,31,2.7,84,0,8,"AP MVP-6,AP OPoY-4,AP CPoY-8"
RivePh00,Philip Rivers,QB,2009,28,SDG,NFL,QB,16,16,26,50,1,5,23.1,15,1.9,3.1,1.6,0,0,0,0,0,,,0.0,0.0,,,26,1.9,50,1,6,"PB,AP MVP-3,AP OPoY-4"
RivePh00,Philip Rivers,QB,2010,29,SDG,NFL,QB,16,16,29,52,0,6,31.0,14,1.8,3.3,1.8,0,0,0,0,0,,,0.0,0.0,,,29,1.8,52,0,7,"PB,AP OPoY-4"
RivePh00,Philip Rivers,QB,2011,30,SDG,NFL,QB,16,16,26,36,1,6,26.9,15,1.4,2.3,1.6,0,0,0,0,0,,,0.0,0.0,,,26,1.4,36,1,9,PB
RivePh00,Philip Rivers,QB,2012,31,SDG,NFL,QB,16,16,27,40,0,2,14.8,11,1.5,2.5,1.7,1,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,27,1.5,40,0,15,
RivePh00,Philip Rivers,QB,2013,32,SDG,NFL,QB,16,16,28,72,0,5,32.1,18,2.6,4.5,1.8,1,0,-9,0,0,0.0,-9,0.0,-0.6,0.0,-9.0,28,2.3,63,0,3,"PB,AP CPoY-1"
RivePh00,Philip Rivers,QB,2014,33,SDG,NFL,QB,16,16,37,102,0,11,27.0,17,2.8,6.4,2.3,0,0,0,0,0,,,0.0,0.0,,,37,2.8,102,0,8,
RivePh00,Philip Rivers,QB,2015,34,SDG,NFL,QB,16,16,17,28,0,2,17.6,8,1.6,1.8,1.1,0,0,0,0,0,,,0.0,0.0,,,17,1.6,28,0,4,
RivePh00,Philip Rivers,QB,2016,35,SDG,NFL,QB,16,16,14,35,0,3,35.7,10,2.5,2.2,0.9,0,0,0,0,0,,,0.0,0.0,,,14,2.5,35,0,9,PB
RivePh00,Philip Rivers,QB,2017,36,LAC,NFL,QB,16,16,18,-2,0,1,11.1,8,-0.1,-0.1,1.1,0,0,0,0,0,,,0.0,0.0,,,18,-0.1,-2,0,8,PB
RivePh00,Philip Rivers,QB,2018,37,LAC,NFL,QB,16,16,18,7,0,1,16.7,7,0.4,0.4,1.1,0,0,0,0,0,,,0.0,0.0,,,18,0.4,7,0,2,PB
RivePh00,Philip Rivers,QB,2019,38,LAC,NFL,QB,16,16,12,29,0,2,25.0,12,2.4,1.8,0.8,0,0,0,0,0,,,0.0,0.0,,,12,2.4,29,0,8,
RivePh00,Philip Rivers,QB,2020,39,IND,NFL,QB,16,16,18,-8,0,0,0.0,3,-0.4,-0.5,1.1,0,0,0,0,0,,,0.0,0.0,,,18,-0.4,-8,0,2,
