player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
ShiaVi00,Visanthe Shiancoe,TE,2003,23,NYG,NFL,TE,16,7,23,10,56,5.6,2,4,39.1,10,0.6,3.5,43.5,2.4,0,0,0,0,0.0,0.0,10,5.6,56,2,0,0,
ShiaVi00,Visanthe Shiancoe,TE,2004,24,NYG,NFL,TE,16,7,7,5,25,5.0,1,3,57.1,9,0.3,1.6,71.4,3.6,0,0,0,0,0.0,0.0,5,5.0,25,1,0,0,
ShiaVi00,Visanthe Shiancoe,TE,2005,25,NYG,NFL,TE,16,5,17,8,91,11.4,0,5,41.2,17,0.5,5.7,47.1,5.4,0,0,0,0,0.0,0.0,8,11.4,91,0,0,1,
ShiaVi00,Visanthe Shiancoe,TE,2006,26,NYG,NFL,TE,16,4,14,12,81,6.8,0,4,50.0,16,0.8,5.1,85.7,5.8,0,0,0,0,0.0,0.0,12,6.8,81,0,1,1,
ShiaVi00,Visanthe Shiancoe,TE,2007,27,MIN,NFL,TE,16,15,43,27,323,12.0,1,10,55.8,79,1.7,20.2,62.8,7.5,0,0,0,0,0.0,0.0,27,12.0,323,1,1,3,
ShiaVi00,Visanthe Shiancoe,TE,2008,28,MIN,NFL,TE,16,15,59,42,596,14.2,7,30,61.0,40,2.6,37.3,71.2,10.1,0,0,0,0,0.0,0.0,42,14.2,596,7,0,6,
ShiaVi00,Visanthe Shiancoe,TE,2009,29,MIN,NFL,TE,16,13,79,56,566,10.1,11,38,65.8,27,3.5,35.4,70.9,7.2,0,0,0,0,0.0,0.0,56,10.1,566,11,0,6,
ShiaVi00,Visanthe Shiancoe,TE,2010,30,MIN,NFL,TE,16,9,79,47,530,11.3,2,20,46.8,33,2.9,33.1,59.5,6.7,0,0,0,0,0.0,0.0,47,11.3,530,2,0,4,
ShiaVi00,Visanthe Shiancoe,TE,2011,31,MIN,NFL,TE,16,14,70,36,409,11.4,3,26,48.6,37,2.3,25.6,51.4,5.8,0,0,0,0,0.0,0.0,36,11.4,409,3,0,4,
ShiaVi00,Visanthe Shiancoe,TE,2012,32,NWE,NFL,TE,4,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,,0,0,0,0,
ShiaVi00,Visanthe Shiancoe,TE,2013,33,TEN,NFL,TE,1,1,2,2,2,1.0,0,0,0.0,3,2.0,2.0,100.0,1.0,0,0,0,0,0.0,0.0,2,1.0,2,0,0,0,
