player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_yac,rec_broken_tackles,rec_drops,rec_target_int,awards
BridTe00,Teddy Bridgewater,QB,2018,26,NOR,NFL,QB,5,1,11,5,1,-8,-0.7,13,1.2,0,,0,0,0,0,0,0,0,0,0,
BridTe00,Teddy Bridgewater,QB,2019,27,NOR,NFL,QB,9,5,28,31,4,16,0.6,15,0.5,0,,0,0,0,0,0,0,0,0,0,AP CPoY-5
BridTe00,Teddy Bridgewater,QB,2020,28,CAR,NFL,QB,15,15,53,279,18,220,4.2,59,1.1,3,17.7,0,0,0,0,0,0,0,0,0,
BridTe00,Teddy Bridgewater,QB,2021,29,DEN,NFL,QB,14,14,30,106,16,71,2.4,35,1.2,1,30.0,0,0,0,0,0,0,0,0,0,
BridTe00,Teddy Bridgewater,QB,2022,30,MIA,NFL,QB,5,2,3,27,2,25,8.3,2,0.7,0,,0,0,0,0,0,0,0,0,0,
BridTe00,Teddy Bridgewater,QB,2023,31,DET,NFL,QB,1,0,2,-2,0,-2,-1.0,0,0.0,0,,0,0,0,0,0,0,0,0,0,
BridTe00,Teddy Bridgewater,QB,,,,,,,,,,,,,,,,,,,,,,,,,,
BridTe00,Teddy Bridgewater,QB,2025,33,TAM,NFL,QB,2,0,1,-1,0,-1,-1.0,0,0.0,0,,0,0,0,0,0,0,0,0,0,
