player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,awards
TollBi00,Billy Joe Tolliver,QB,1989,23,SDG,NFL,QB,5,5,0,0,0,0,,0,4,1,-6,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,1990,24,SDG,NFL,QB,15,14,0,0,0,0,,1,6,2,0,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,1991,25,ATL,NFL,QB,7,2,0,0,0,0,,0,3,0,-4,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,1992,26,ATL,NFL,QB,9,5,0,0,0,0,,0,5,0,0,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,,,,,,,,,,,,,,,,,,,,,,,
TollBi00,Billy Joe Tolliver,QB,1994,28,HOU,NFL,QB,10,7,0,0,0,0,,0,7,0,-3,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,,,,,,,,,,,,,,,,,,,,,,,
TollBi00,Billy Joe Tolliver,QB,1997,31,2TM,NFL,QB,9,1,0,0,0,0,,0,7,2,-1,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,1997,31,ATL,NFL,QB,6,1,0,0,0,0,,0,6,1,0,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,1997,31,KAN,NFL,QB,3,0,0,0,0,0,,0,1,1,-1,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,1998,32,NOR,NFL,QB,7,4,0,0,0,0,,0,3,0,-13,0,0.0,0,0,0,0,
TollBi00,Billy Joe Tolliver,QB,1999,33,NOR,NFL,QB,10,7,0,0,0,0,0,0,4,2,-24,0,0.0,,,,0,
