player_id,player_name,position,year_id,team_name_abbr,age,comp_name_abbr,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,awards
SproDa00,Darren Sproles,RB,2006,Did not play - Injured (broken ankle),,,,,,,,,,,,,,,,,,,,,,
SproDa00,Darren Sproles,RB,2007,SDG,24,NFL,RB,15,0,2,0,1,1,0,0,0,4,0,0,0,0,0,0,24,1.6,
SproDa00,Darren Sproles,RB,2008,SDG,25,NFL,RB,16,0,1,5,0,1,0,0,0,7,1,0,0,0,0,0,44,2.8,
SproDa00,Darren Sproles,RB,2009,SDG,26,NFL,RB,16,2,3,4,1,0,0,0,0,8,0,0,0,0,0,0,48,3.0,
SproDa00,Darren Sproles,RB,2010,SDG,27,NFL,RB,16,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,
SproDa00,Darren Sproles,RB,2011,NOR,28,NFL,RB,16,4,2,7,1,0,0,0,0,10,0,0,0,0,0,0,60,3.8,
SproDa00,Darren Sproles,RB,2012,NOR,29,NFL,RB,13,6,1,7,0,0,0,0,0,8,1,0,0,0,0,0,50,3.8,
SproDa00,Darren Sproles,RB,2013,NOR,30,NFL,RB,15,4,2,2,0,0,0,0,0,4,0,0,0,0,0,0,24,1.6,
SproDa00,Darren Sproles,RB,2014,PHI,31,NFL,RB,15,0,6,0,2,0,0,0,0,8,0,0,0,0,0,0,48,3.2,"PB,AP-2"
SproDa00,Darren Sproles,RB,2015,PHI,32,NFL,RB,16,4,3,1,2,0,0,0,0,6,0,0,0,0,0,0,36,2.3,PB
SproDa00,Darren Sproles,RB,2016,PHI,33,NFL,RB,15,5,2,2,0,0,0,0,0,4,0,0,0,0,0,0,24,1.6,PB
SproDa00,Darren Sproles,RB,,,,,,,,,,,,,,,,,,,,,,,,
SproDa00,Darren Sproles,RB,2018,PHI,35,NFL,RB,6,2,1,2,0,0,0,0,0,3,0,0,0,0,0,0,18,3.0,
SproDa00,Darren Sproles,RB,2019,PHI,36,NFL,RB,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.3,
