player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_cmp,pass_att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,awards
MayfBa00,Baker Mayfield,QB,2018,23,CLE,NFL,QB,14,13,310,486,4514,9.3,2029,6.5,4.2,1696,5.5,0,13,3,31,6.6,81,17.2,,,2.2,169,84,18,127,24.1,17,8.4,,,,,,,,,AP ORoY-2
MayfBa00,Baker Mayfield,QB,2019,24,CLE,NFL,QB,16,16,317,534,4516,8.5,2007,6.3,3.8,1820,5.7,20,19,2,30,5.8,93,18.1,362,70.6,2.3,211,65,24,129,21.8,17,7.9,60,470,58,471,1,-1,125,1128,
MayfBa00,Baker Mayfield,QB,2020,25,CLE,NFL,QB,16,16,305,486,4124,8.5,2203,7.2,4.5,1360,4.5,8,28,5,21,4.6,85,18.8,339,74.8,2.7,179,49,26,101,18.8,25,6.1,7,63,5,60,2,3,121,1141,
MayfBa00,Baker Mayfield,QB,2021,26,CLE,NFL,QB,14,14,253,418,3610,8.6,1632,6.5,3.9,1378,5.4,11,14,2,20,5.0,84,20.9,296,73.6,2.4,124,52,18,113,23.3,25,5.2,11,78,9,76,2,2,89,849,
MayfBa00,Baker Mayfield,QB,2022,27,2TM,NFL,QB,12,10,201,335,2271,6.8,1031,5.1,3.1,1132,5.6,16,15,1,17,5.3,60,18.8,226,70.8,2.6,110,23,21,80,20.7,15,5.5,20,74,19,68,1,6,97,657,
MayfBa00,Baker Mayfield,QB,2022,27,CAR,NFL,QB,7,6,119,206,1316,6.4,580,4.9,2.8,733,6.2,13,10,0,12,6.1,35,17.9,134,68.4,2.5,63,12,10,41,17.6,8,6.0,19,74,18,68,1,6,49,302,
MayfBa00,Baker Mayfield,QB,2022,27,LAR,NFL,QB,5,4,82,129,955,7.4,451,5.5,3.5,399,4.9,3,5,1,5,4.1,25,20.3,92,74.8,2.6,47,11,11,39,25.5,7,4.9,1,0,1,0,0,0,48,355,
MayfBa00,Baker Mayfield,QB,2023,28,TAM,NFL,QB,17,17,364,566,4831,8.5,2103,5.8,3.7,1941,5.3,20,17,0,24,4.4,81,14.8,411,74.9,2.4,141,37,35,112,17.6,29,5.9,59,296,51,284,5,12,95,728,"PB,AP CPoY-3"
MayfBa00,Baker Mayfield,QB,2024,29,TAM,NFL,QB,17,17,407,570,3966,7.0,2061,5.1,3.6,2439,6.0,14,7,1,27,4.8,63,11.2,442,78.6,2.2,175,49,20,109,16.7,44,8.7,49,432,45,424,2,8,117,1087,"PB,AP MVP-11,AP OPoY-11"
MayfBa00,Baker Mayfield,QB,2025,30,TAM,NFL,QB,8,8,172,269,2300,8.6,906,5.3,3.4,1013,5.9,6,6,1,9,3.4,41,15.6,195,74.4,2.3,75,22,9,48,15.8,17,9.5,18,95,17,89,1,6,50,406,
