player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,awards
MajkDo00,Don Majkowski,QB,1987,23,GNB,NFL,QB,7,5,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,
MajkDo00,Don Majkowski,QB,1988,24,GNB,NFL,QB,13,9,0,0,0,0,0,8,3,0,0,0.0,0,0,0,0,
MajkDo00,Don Majkowski,QB,1989,25,GNB,NFL,QB,16,16,0,0,0,0,0,15,6,-13,0,0.0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-3"
MajkDo00,Don Majkowski,QB,1990,26,GNB,NFL,QB,9,8,0,0,0,0,0,6,3,-10,0,0.0,0,0,0,0,
MajkDo00,Don Majkowski,QB,1991,27,GNB,NFL,QB,9,8,0,0,0,0,0,10,4,-3,0,0.0,0,0,0,0,
MajkDo00,Don Majkowski,QB,1992,28,GNB,NFL,QB,14,3,0,0,0,0,0,4,3,0,0,0.0,0,0,0,0,
MajkDo00,Don Majkowski,QB,1993,29,IND,NFL,QB,3,0,0,0,0,0,0,1,1,-7,0,0.0,0,0,0,0,
MajkDo00,Don Majkowski,QB,1994,30,IND,NFL,QB,9,6,0,0,0,0,0,5,2,-14,0,0.0,0,0,0,0,
MajkDo00,Don Majkowski,QB,,,,,,,,,,,,,,,,,,,,,,
MajkDo00,Don Majkowski,QB,1996,32,DET,NFL,QB,5,2,0,0,0,0,0,5,1,-6,0,0.0,0,0,0,0,
