player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds,awards
BrooJa00,James Brooks,RB,1981,23,SDG,NFL,RB,14,2,22,290,0,42,13.2,40,949,0,47,23.7,2093,
BrooJa00,James Brooks,RB,1982,24,SDG,NFL,RB,9,0,12,138,0,29,11.5,33,749,0,47,22.7,1383,
BrooJa00,James Brooks,RB,1983,25,SDG,NFL,RB,15,6,18,137,0,30,7.6,32,607,0,34,19.0,1475,
BrooJa00,James Brooks,RB,1984,26,CIN,NFL,RB,15,11,0,0,0,0,,7,144,0,37,20.6,808,
BrooJa00,James Brooks,RB,1985,27,CIN,NFL,RB,16,16,0,0,0,0,,3,38,0,15,12.7,1543,
BrooJa00,James Brooks,RB,,,,,,,,,,,,,,,,,,,
BrooJa00,James Brooks,RB,1987,29,CIN,NFL,RB,9,7,0,0,0,0,,2,42,0,23,21.0,604,
BrooJa00,James Brooks,RB,1988,30,CIN,NFL,RB,15,15,0,0,0,0,,1,-6,0,-6,-6.0,1212,PB
BrooJa00,James Brooks,RB,,,,,,,,,,,,,,,,,,,
BrooJa00,James Brooks,RB,1991,33,CIN,NFL,RB,15,12,0,0,0,0,,11,190,0,35,17.3,1109,
BrooJa00,James Brooks,RB,1992,34,2TM,NFL,RB,6,2,0,0,0,0,,3,49,0,24,16.3,92,
BrooJa00,James Brooks,RB,1992,34,TAM,NFL,RB,2,0,0,0,0,0,,3,49,0,24,16.3,55,
