player_id,player_name,position,year_id,age,team,pos,uniform_number,g,gs,offense,off_pct,defense,def_pct,special_teams,st_pct
GrahJi00,Jimmy Graham,TE,2012,26,NOR,TE,80,15,9,695,67%,0,0%,65,14%
GrahJi00,Jimmy Graham,TE,2013*+,27,NOR,TE,80,16,12,754,67%,3,0%,16,4%
GrahJi00,Jimmy Graham,TE,2014*,28,NOR,TE,80,16,13,774,68%,0,0%,9,2%
GrahJi00,Jimmy Graham,TE,2015,29,SEA,TE,88,11,11,569,78%,0,0%,15,5%
GrahJi00,Jimmy Graham,TE,2016*,30,SEA,TE,88,16,15,790,75%,0,0%,5,1%
GrahJi00,Jimmy Graham,TE,2017*,31,SEA,TE,88,16,13,729,68%,0,0%,11,2%
GrahJi00,Jimmy Graham,TE,2018,32,GNB,TE,80,16,12,795,74%,0,0%,0,0%
GrahJi00,Jimmy Graham,TE,2019,33,GNB,TE,80,16,10,622,58%,0,0%,4,1%
GrahJi00,Jimmy Graham,TE,2020,34,CHI,TE,80,16,15,636,59%,0,0%,1,0%
GrahJi00,Jimmy Graham,TE,2021,35,CHI,TE,80,15,6,263,27%,0,0%,1,0%
GrahJi00,Jimmy Graham,TE,2023,37,NOR,TE,80,13,2,171,19%,0,0%,1,0%
