player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,awards
GrahJi00,Jimmy Graham,TE,2010,24,NOR,NFL,TE,15,5,0,0,0,0,0,0,1,1,20,0,0.0,1,1,0,0,0,0,
GrahJi00,Jimmy Graham,TE,2011,25,NOR,NFL,TE,16,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,"PB,AP-2"
GrahJi00,Jimmy Graham,TE,2012,26,NOR,NFL,TE,15,9,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0,0,0,
GrahJi00,Jimmy Graham,TE,2013,27,NOR,NFL,TE,16,12,0,0,0,0,0,0,0,1,-2,0,0.0,0,0,0,0,0,0,"PB,AP-1"
GrahJi00,Jimmy Graham,TE,2014,28,NOR,NFL,TE,16,13,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB
GrahJi00,Jimmy Graham,TE,,,,,,,,,,,,,,,,,,,,,,,,,
GrahJi00,Jimmy Graham,TE,2016,30,SEA,NFL,TE,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB
GrahJi00,Jimmy Graham,TE,,,,,,,,,,,,,,,,,,,,,,,,,
GrahJi00,Jimmy Graham,TE,2019,33,GNB,NFL,TE,16,10,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
GrahJi00,Jimmy Graham,TE,2020,34,CHI,NFL,TE,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
GrahJi00,Jimmy Graham,TE,2021,35,CHI,NFL,TE,15,6,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
GrahJi00,Jimmy Graham,TE,2022,,Did not play - Out of NFL,,,,,,,,,,,,,,,,,,,,,,
