player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
JoneBe00,Bert Jones,QB,1975,24,BAL,NFL,QB,1,1,0-1-0,6,11,54.5,91,0,0.0,0,0.0,,8.3,8.27,15.2,91.0,82.0,0,0,0.00,8.27,8.27,0,0,
JoneBe00,Bert Jones,QB,1976,25,BAL,NFL,QB,1,1,0-1-0,11,25,44.0,144,1,4.0,2,8.0,25,5.8,2.96,13.1,144.0,42.7,5,45,16.67,3.30,0.97,0,0,
JoneBe00,Bert Jones,QB,1977,26,BAL,NFL,QB,1,1,0-1-0,12,26,46.2,164,0,0.0,0,0.0,30,6.3,6.31,13.7,164.0,66.8,6,50,18.75,3.56,3.56,0,0,
